"Statefips","stateName","abb","State","Division","Region","stateNameLower"
"01","alabama","AL","Alabama         ","Division 6: East South Central","Region 3: South","alabama"
"02",NA,NA,"Alaska          ","Division 9: Pacific","Region 4: West",NA
"04","arizona","AZ","Arizona         ","Division 8: Mountain","Region 4: West","arizona"
"05","arkansas","AR","Arkansas        ","Division 7: West South Central","Region 3: South","arkansas"
"06","california","CA","California      ","Division 9: Pacific","Region 4: West","california"
"08","colorado","CO","Colorado        ","Division 8: Mountain","Region 4: West","colorado"
"09","connecticut","CT","Connecticut     ","Division 1: New England","Region 1: Northeast","connecticut"
"10","delaware","DE","Delaware        ","Division 5: South Atlantic","Region 3: South","delaware"
"11","district of columbia","DC","District of Columbia ","Division 5: South Atlantic","Region 3: South","district of columbia"
"12","florida","FL","Florida         ","Division 5: South Atlantic","Region 3: South","florida"
"13","georgia","GA","Georgia         ","Division 5: South Atlantic","Region 3: South","georgia"
"15",NA,NA,"Hawaii          ","Division 9: Pacific","Region 4: West",NA
"16","idaho","ID","Idaho           ","Division 8: Mountain","Region 4: West","idaho"
"17","illinois","IL","Illinois        ","Division 3: East North Central","Region 2: Midwest","illinois"
"18","indiana","IN","Indiana         ","Division 3: East North Central","Region 2: Midwest","indiana"
"19","iowa","IA","Iowa            ","Division 4: West North Central","Region 2: Midwest","iowa"
"20","kansas","KS","Kansas          ","Division 4: West North Central","Region 2: Midwest","kansas"
"21","kentucky","KY","Kentucky        ","Division 6: East South Central","Region 3: South","kentucky"
"22","louisiana","LA","Louisiana       ","Division 7: West South Central","Region 3: South","louisiana"
"23","maine","ME","Maine           ","Division 1: New England","Region 1: Northeast","maine"
"24","maryland","MD","Maryland        ","Division 5: South Atlantic","Region 3: South","maryland"
"25","massachusetts:martha's vineyard","MA","Massachusetts   ","Division 1: New England","Region 1: Northeast","massachusetts:martha's vineyard"
"25","massachusetts:main","MA","Massachusetts   ","Division 1: New England","Region 1: Northeast","massachusetts:main"
"25","massachusetts:nantucket","MA","Massachusetts   ","Division 1: New England","Region 1: Northeast","massachusetts:nantucket"
"26","michigan:north","MI","Michigan        ","Division 3: East North Central","Region 2: Midwest","michigan:north"
"26","michigan:south","MI","Michigan        ","Division 3: East North Central","Region 2: Midwest","michigan:south"
"27","minnesota","MN","Minnesota       ","Division 4: West North Central","Region 2: Midwest","minnesota"
"28","mississippi","MS","Mississippi     ","Division 6: East South Central","Region 3: South","mississippi"
