5 Digit NTD ID,Legacy NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Full Time Vehicle Operations Hours Worked,Full Time Vehicle Maintenance Hours Worked,Full Time Non-Vehicle Maintenance Hours Worked,Full Time General Administration Maintenance Hours Worked,Total Full Time Operating Labor Hours Worked,Total Full Time Capital Labor Hours Worked,Total Full Time Hours Worked,Full Time Vehicle Operations Employee Count,Full Time Vehicle Maintenance Employee Count,Full Time Non-Vehicle Maintenance Employee Count,Full Time General Administration Employee Count,Total Full Time Operating Employee Count,Total Full Time Capital Employee Count,Total Full Time Employee Count,Part Time Vehicle Operations Hours Worked,Part Time Vehicle Maintenance Hours Worked,Part Time Non-Vehicle Maintenance Hours Worked,Part Time General Administration Hours Worked,Total Part Time Operating Labor Hours Worked,Total Part Time Capital Labor Hours Worked,Total Part Time Hours Worked,Part Time Vehicle Operations Employee Count,Part Time Vehicle Maintenance Employee Count,Part Time Non-Vehicle Maintenance Employee Count,Part Time General Administration Employee Count,Total Part Time Operating Employee Count,Total Part Time Capital Employee Count,Total Part Time Employee Count
00001,0001,King County Department of Transportation,Full Reporter,Urban,MB,DO,"3,032,461","864,855","322,510","294,518","4,514,344","107,429","4,621,773","1,929.6",529.1,192.5,176.7,"2,827.9",65.4,"2,893.2","344,153","23,430","14,301","14,933","396,817","4,402","401,219",663.7,44.7,30.8,39.7,778.9,8.8,787.7
00001,0001,King County Department of Transportation,Full Reporter,Urban,TB,DO,"429,336","93,127","93,074","42,438","657,975","19,821","677,796",273.2,57.0,56.2,25.5,411.8,12.1,423.9,"48,725","2,523","4,347","2,173","57,768",870,"58,638",94.0,4.8,11.6,5.8,116.2,2.1,118.3
00001,0001,King County Department of Transportation,Full Reporter,Urban,SR,DO,"67,567","12,252","5,862","11,663","97,344","1,410","98,754",41.6,8.0,3.6,7.0,60.2,0.9,61.1,"1,057",0,326,"1,865","3,248",92,"3,340",3.1,0.0,1.0,2.6,6.6,0.2,6.8
00001,0001,King County Department of Transportation,Full Reporter,Urban,FB,DO,"20,867","7,381",179,"10,750","39,177","1,337","40,514",11.7,4.3,0.1,6.2,22.2,1.0,23.2,"3,296",716,182,687,"4,881",523,"5,404",13.0,2.0,0.1,0.3,15.4,0.3,15.7
00001,0001,King County Department of Transportation,Full Reporter,Urban,VP,DO,,,921,"47,085","48,006","1,491","49,497",,,0.6,29.4,30.0,1.0,31.0,,,30,"5,444","5,474",1,"5,475",,,0.1,11.3,11.3,0.0,11.3
00002,0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,"498,332","104,339","38,122","91,556","732,349","1,037","733,386",281.3,63.3,24.0,54.0,422.6,0.6,423.2,"26,619",,,,"26,619",,"26,619",39.0,,,,39.0,,39.0
00002,0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,"122,706","22,160",,"25,613","170,479",290,"170,769",85.8,13.0,,15.1,113.9,0.2,114.1,"5,423",,,,"5,423",,"5,423",5.0,,,,5.0,,5.0
00002,0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,,,,"4,991","4,991",15,"5,006",,,,2.8,2.8,0.0,2.8,,,,,0,,0,,,,,0.0,,0.0
00003,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,"541,749","79,830","43,341","126,795","791,715",,"791,715",289.0,46.3,24.5,72.8,432.5,,432.5,"97,057",,,"2,603","99,660",,"99,660",48.0,,,2.3,50.2,,50.2
00003,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,"61,106","6,673","1,298","18,265","87,342",,"87,342",31.0,3.6,0.8,10.7,46.0,,46.0,14,,,"2,435","2,449",,"2,449",0.0,,,1.4,1.5,,1.5
00003,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,"14,154","9,808","1,960","8,660","34,582",,"34,582",8.2,5.2,1.1,5.0,19.5,,19.5,,,,277,277,,277,,,,0.2,0.2,,0.2
00005,0005,Everett Transit,Full Reporter,Urban,MB,DO,"134,544","15,357","8,104","28,818","186,823",,"186,823",76.3,7.5,6.6,13.4,103.8,,103.8,,,,,0,,0,,,,,0.0,,0.0
00005,0005,Everett Transit,Full Reporter,Urban,DR,DO,"74,957","9,098","4,206","16,338","104,599",,"104,599",39.7,4.5,3.5,8.4,56.1,,56.1,,,,,0,,0,,,,,0.0,,0.0
00006,0006,Yakima Transit,Full Reporter,Urban,MB,DO,"65,821","5,612",,"12,898","84,331",,"84,331",34.0,4.0,,7.2,45.2,,45.2,"27,919","5,843",,,"33,762",,"33,762",29.0,7.0,,,36.0,,36.0
00006,0006,Yakima Transit,Full Reporter,Urban,VP,DO,,,,"1,243","1,243",,"1,243",0.0,,,0.8,0.8,,0.8,,,,,0,,0,,,,,0.0,,0.0
00007,0007,Lane Transit District,Full Reporter,Urban,MB,DO,"363,001","64,193","13,959","60,106","501,259","7,527","508,786",164.9,33.3,7.7,27.8,233.7,3.6,237.3,,,,"2,239","2,239",315,"2,554",,,,1.5,1.5,0.2,1.7
00007,0007,Lane Transit District,Full Reporter,Urban,RB,DO,"46,451","14,646","2,147","9,205","72,449","1,158","73,607",21.1,7.6,1.2,4.2,34.1,0.6,34.7,,,,456,456,,456,,,,0.3,0.3,0.0,0.3
00008,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,"2,066,668","487,308","62,087","325,694","2,941,757","14,739","2,956,496","1,057.5",263.0,35.0,168.0,"1,523.5",8.0,"1,531.5","488,962",,,"8,619","497,581",308,"497,889",346.0,,,5.5,351.5,0.5,352.0
00008,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,"534,252","420,471","296,462","147,665","1,398,850","149,000","1,547,850",273.0,214.0,163.0,80.0,730.0,83.0,813.0,,,,"5,248","5,248","4,348","9,596",0.0,,,3.5,3.5,4.5,8.0
