5 Digit NTD ID,Legacy NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Cooking Oil,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
00001,0001,King County Department of Transportation,Full Reporter,Urban,VP,DO,,,,,,"52,825",,,"919,256",,,,,,
00001,0001,King County Department of Transportation,Full Reporter,Urban,DR,PT,0,,,,"439,823",,,,"527,723",,,,"107,194",,
00001,0001,King County Department of Transportation,Full Reporter,Urban,MB,PT,0,,,,"33,976",,,,"162,009",,,,,,
00001,0001,King County Department of Transportation,Full Reporter,Urban,FB,DO,"201,892",,,,"20,220",,,,,,,,,,
00001,0001,King County Department of Transportation,Full Reporter,Urban,MB,DO,0,,,,"10,151,916","226,958",,,,,,,,,
00001,0001,King County Department of Transportation,Full Reporter,Urban,SR,DO,,,,,,,"869,314",,,,,,,,
00001,0001,King County Department of Transportation,Full Reporter,Urban,TB,DO,,,,,,,"19,655,645",,,,,,,,
00002,0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,,,,,,,,,"69,869",,,,,,
00002,0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,0,,,,"111,563",,,,"21,798",,,"2,726",,,
00002,0002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"137,274",,,,"20,583",,,,,,
00002,0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,0,,,,"1,133,980",,,,,,,,,,
00003,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,"336,298",,,,,,
00003,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"303,032",,,,,,
00003,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,,,"25,162",,,,,,"89,011",,,,,,
00003,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,"1,274,778",,"183,096",,,,"24,034",,,,,,
00005,0005,Everett Transit,Full Reporter,Urban,DR,DO,0,,,,"17,880",,,,"104,663",,,,,,
00005,0005,Everett Transit,Full Reporter,Urban,MB,DO,0,,,,"307,976",,,,,,,,,,
00006,0006,Yakima Transit,Full Reporter,Urban,DR,PT,,,,,,,,,"45,779",,,,,,
00006,0006,Yakima Transit,Full Reporter,Urban,VP,DO,0,,,,"1,168",,,,"19,912",,,,,,
00006,0006,Yakima Transit,Full Reporter,Urban,CB,PT,0,,,,"5,308",,,,"2,427",,,,,,
00006,0006,Yakima Transit,Full Reporter,Urban,MB,DO,0,,,,"169,082",,,,,,,,,,
00007,0007,Lane Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,"169,473",,,,,,
00007,0007,Lane Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,"25,327",,,,,,
00007,0007,Lane Transit District,Full Reporter,Urban,MB,PT,"9,764",,,,0,,,,224,,,,,,
00007,0007,Lane Transit District,Full Reporter,Urban,MB,DO,"510,000",,,,0,,,,,,,,,,
00007,0007,Lane Transit District,Full Reporter,Urban,RB,DO,,,,,"97,180",,,,,,,,,,
00008,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,"748,873",,,,0,,,,"35,984",,,,,,
00008,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,,,,,,,"55,121,881",,,,,,,,
00008,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,"5,380,816",,,,0,,,,,,,,,,
00008,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,"106,645",,,,0,,,,,,,,,,
00011,0011,Valley Regional Transit,Full Reporter,Urban,MB,DO,0,,"384,778",,"3,696",,,,"14,226",,,,,,
00011,0011,Valley Regional Transit,Full Reporter,Urban,DR,DO,0,,"58,251",,"12,417",,,,"6,246",,,,,,
00012,0012,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,DR,PT,,,,,,,,,"166,864",,,,,,
00012,0012,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,VP,PT,,,,,,,,,"88,342",,,,,,
00012,0012,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,MB,DO,0,,,,"540,775",,,,,,,,,,
00016,0016,RiverCities Transit,Full Reporter,Urban,DR,PT,"2,907",,,,0,,,,"31,586",,,,,,
00016,0016,RiverCities Transit,Full Reporter,Urban,VP,DO,,,,,,,,,262,,,,,,
00016,0016,RiverCities Transit,Full Reporter,Urban,MB,DO,"80,848",,,,0,,,,,,,,,,
00018,0018,Ben Franklin Transit,Full Reporter,Urban,DR,DO,0,,,,"1,401",,,,"311,258",,,,,,
00018,0018,Ben Franklin Transit,Full Reporter,Urban,VP,DO,0,,,,0,,,,"251,819",,,,,,
00018,0018,Ben Franklin Transit,Full Reporter,Urban,DR,PT,0,,,,464,,,,"31,844",,,,,,
00018,0018,Ben Franklin Transit,Full Reporter,Urban,MB,DO,0,,,,"460,959","7,644",,,,,,,,,
00019,0019,Intercity Transit,Full Reporter,Urban,VP,DO,,,,,,,,,"192,389",,,,,,
00019,0019,Intercity Transit,Full Reporter,Urban,DR,DO,"103,377",,,,0,,,,"5,157",,,,,,
00019,0019,Intercity Transit,Full Reporter,Urban,CB,DO,"104,993",,,,0,,,,,,,,,,
00019,0019,Intercity Transit,Full Reporter,Urban,MB,DO,"600,495",,,,0,,,,,,,,,,
00020,0020,Kitsap Transit,Full Reporter,Urban,VP,DO,0,,,,"5,405",,,,"46,078",,,,,,
00020,0020,Kitsap Transit,Full Reporter,Urban,DR,DO,0,,,,"113,895",,,,"1,869",,,,0,,
00020,0020,Kitsap Transit,Full Reporter,Urban,FB,PT,0,,,,"51,638",,,,650,,,,,,
00020,0020,Kitsap Transit,Full Reporter,Urban,MB,DO,0,,,,"478,329",,,,,,,,,,
00021,0021,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,"143,286",,,,,,
00021,0021,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,,,,,,,,,"27,880",,,,,,
00021,0021,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,0,,,,"391,155",,,,,,,,,,
00023,0023,City of Seattle - Seattle Center Monorail Transit,Full Reporter,Urban,MG,PT,,,,,,,"624,712",,,,,,,,
00024,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,"21,745",,,,,,
00024,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,0,,,,"177,691",,,,"9,885",,,,,,
00024,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,,,"749,119",,,,"8,215",,,,,,
00024,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,CB,DO,0,,,,"157,617",,,,,,,,,,
00025,0025,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,"38,839",,,,0,,,,"405,211",,,,,,
00025,0025,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,"30,638",,,,,,
00025,0025,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,"253,371",,"319,037",,"7,510",,,,,,,,,,
00028,0028,Pierce County Ferry Operations,Full Reporter,Urban,FB,PT,0,,,,"187,763",,,,,,,,,,
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,,,,,,,,,"258,365",,,,,,
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,0,,,,240,,,,"238,638",,,,,,
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,0,,,,"372,458",,,,,,,,,,
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,0,,,,"515,857",,,,,,,,,,
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,0,,,,"1,337,449",,,,,,,,,,
00034,0034,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,,,,,,,,,"50,482",,,,,,
00034,0034,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,0,,"122,998",,"32,942",,,,,,,,,,
00035,0035,Washington State Ferries,Full Reporter,Urban,FB,DO,"759,396",,,,"16,981,896",,,,,,,,,,
00040,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,0,,"134,774",,"2,488,858",,,,,,,,,,
00040,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,,"805,462",,,,,,,,,,
00040,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,0,,,,"1,221,710",,,,,,,,,,
00040,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,,,,,,,"19,334,273",,,,,,,,
00040,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,,,,,,,"394,042",,,,,,,,
00041,0041,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,0,,,,"791,966",,,,,,,,,,
00043,0043,Link Transit,Full Reporter,Urban,DR,DO,0,,,,329,,,,"8,816",,,,"18,202",,
00043,0043,Link Transit,Full Reporter,Urban,MB,DO,0,,,,"240,933","69,678",,,"6,559",,,,"55,902",,
00043,0043,Link Transit,Full Reporter,Urban,DR,PT,,,,,,,,,453,,,,,,
00044,0044,Skagit Transit,Full Reporter,Urban,VP,DO,,,,,,,,,"58,812",,,,,,
00044,0044,Skagit Transit,Full Reporter,Urban,CB,DO,0,,,,"50,459",,,,,,,,,,
00044,0044,Skagit Transit,Full Reporter,Urban,DR,DO,0,,,,"38,056",,,,,,,,0,,
00044,0044,Skagit Transit,Full Reporter,Urban,MB,DO,0,,,,"152,325",,,,,,,,,,
00047,0047,City of Corvallis,Full Reporter,Urban,MB,PT,"94,551",,,,0,,,,,,,,,,
00057,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,,,,,,,,,"25,661",,,,,,
00057,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,,,,,,,,,"24,943",,,,,,
00057,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,0,,,,"33,310",,,,"5,425",,,,,,
00057,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,,,,,,,,,"2,033",,,,,,
00057,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,0,,,,"54,885",,,,,,,,,,
00058,0058,City of Portland,Full Reporter,Urban,SR,PT,,,,,,,"2,144,253",,,,,,,,
00058,0058,City of Portland,Full Reporter,Urban,TR,PT,,,,,,,"375,400",,,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Urban,DR,DO,0,,,,"326,017",,,,,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"13,487",,,,,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Urban,MB,DO,0,,,,"2,026,760",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"2,047,027",,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,PT,0,,,,"76,921",,,,"26,902",,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,CR,PT,0,,,,"12,704,208",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,FB,PT,0,,,,"1,019,854",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,HR,DO,,,,,,,"209,822,770",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,,"62,798,382",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,DO,0,,"4,144,102",,"5,105,648",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,RB,DO,0,,,,"273,700",,"9,907,683",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,TB,DO,,,,,,,"1,675,208",,,,,,,,
10004,1004,Brockton Area Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"13,717",,,,"82,077",,,,,,
10004,1004,Brockton Area Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"323,914",,,,,,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"4,304",,,,"52,025",,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"284,679",,,,"40,970",,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,DO,0,,,,"1,578",,,,"23,886",,,,,,
10006,1006,Southeastern Regional Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"3,030",,,,"64,436",,,,,,
10006,1006,Southeastern Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"375,295",,,,,,,,,,
10007,1007,Berkshire Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"92,815",,,,"53,793",,,,,,
10007,1007,Berkshire Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"41,465",,,,,,
10008,1008,Pioneer Valley Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"379,031",,,,,,
10008,1008,Pioneer Valley Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"1,224,552",,,,"18,963",,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"83,905",,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,,"41,139",,,,,,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"405,745",,,,,,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"87,447",,,,,,
