agency,persons,Type,,
Alameda-Contra Costa Transit District,2,Regional,Regional,
Altamont Corridor Express,1,Regional,Regional,
Ann Arbor Transportation Authority,1,Municipal,Municipal,
Arlington Transit - Arlington County,1,Regional,Regional,
Athens Transit System,1,Municipal,Municipal,
Beaver County Transit Authority,1,County,County,no across UZA
Belle Urban System - Racine,2,Regional ,,
Berks Area Reading Transportation Authority,1,Municipal,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, d.b.a.",2,Regional,,
Birmingham-Jefferson County Transit Authority,1,County,,
Blacksburg Transit,1,Municipal,,
Bloomington-Normal Public Transit System,1,Regional,,
Blue Water Area Transportation Commission,2,Municipal,,
"Board of County Commissioners, Palm Beach County, PalmTran, Inc.",2,County,,
Broward County Transit Division,2,County,,
Butte County Association of Governments,2,County,,
Cambria County Transit Authority,2,County,,
Cape Fear Public Transportation Authority,2,Municipal,,
Capital Area Transit,2,,,
Capital Area Transit System,1,,,
Capital Area Transportation Authority,2,,,
Capital Metropolitan Transportation Authority,2,,,
Central Arkansas Transit Authority,3,,,
Central Contra Costa Transit Authority,1,,,
Central Florida Regional Transportation Authority,1,,,
Central Midlands Transit,3,,,
Central Oklahoma Transportation and Parking Authority,1,,,
Central Puget Sound Regional Transit Authority,2,,,
Centre Area Transportation Authority,1,,,
Champaign-Urbana Mass Transit District,1,,,
Charleston Area Regional Transportation Authority,2,,,
Charlotte Area Transit System,1,,,
Chatham Area Transit Authority,1,,,
Chattanooga Area Regional Transportation Authority,1,,,
Chicago Transit Authority,3,,,
"City Transit Management Company, Inc.",3,,,
City Utilities of Springfield,1,,,
City of Albuquerque Transit Department,1,,,
City of Appleton - Valley Transit,1,,,
City of Brownsville - Brownsville Metro,3,,,
City of Elk Grove,1,,,
City of Harrisonburg Department of Public Transportation,2,,,
City of Lawrence,2,,,
City of Los Angeles Department of Transportation,1,,,
City of Santa Rosa,1,,,
City of Seattle - Seattle Center Monorail Transit,2,,,
City of Tallahassee,1,,,
City of Tempe Transit Division - dba Valley Metro,2,,,
City of Tucson,3,,,
City of Visalia - Visalia City Coach,1,,,
City of Waukesha Transit Commission,2,,,
Clark County Public Transportation Benefit Area Authority,3,,,
Coast Transit Authority,1,,,
Cobb County Department of Transportation Authority,1,,,
Collier Area Transit,1,,,
Columbia Transit,2,,,
County of Lackawanna Transit System,1,,,
"County of Volusia, dba: VOTRAN",1,,,
Culver City Municipal Bus Lines,2,,,
Dallas Area Rapid Transit,2,,,
Delaware Transit Corporation,1,,,
Denton County Transportation Authority,1,,,
Denver Regional Transportation District,2,,,
Detroit Transportation Corporation,1,,,
Durham Area Transit Authority,1,,,
Erie Metropolitan Transit Authority,1,,,
Everett Transit,2,,,
Foothill Transit,1,,,
Fort Wayne Public Transportation Corporation,1,,,
Fort Worth Transportation Authority,1,,,
Fresno Area Express,1,,,
Gainesville Regional Transit System,1,,,
Gold Coast Transit,1,,,
Golden Empire Transit District,1,,,
Greater Attleboro-Taunton Regional Transit Authority,1,,,
Greater Dayton Regional Transit Authority,1,,,
Greater Lafayette Public Transportation Corporation,1,,,
Greater Lynchburg Transit Company,3,,,
Greater Peoria Mass Transit District,1,,,
Green Bay Metro,1,,,
Gwinnett County Board of Commissioners,1,,,
Indianapolis and Marion County Public Transportation,1,,,
Intercity Transit,2,,,
Interurban Transit Partnership,1,,,
"JAUNT, Inc.",2,,,
Jacksonville Transportation Authority,1,,,
Kalamazoo Metro Transit System,2,,,
Kanawha Valley Regional Transportation Authority,1,,,
King County Department of Transportation - Metro Transit Division,1,,,
Kitsap Transit,3,,,
Knoxville Area Transit,3,,,
LaCrosse Municipal Transit Utility,1,,,
Lakeland Area Mass Transit District,1,,,
Laketran,1,,,
Lane Transit District,1,,,
"Laredo Transit Management, Inc.",1,,,
Lee County Transit,3,,,
Lehigh and Northampton Transportation Authority,1,,,
Livermore / Amador Valley Transit Authority,1,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,1,,,
Luzerne County Transportation Authority,1,,,
METRO Regional Transit Authority,2,,,
MTA New York City Transit,1,,,
Macon-Bibb County Transit Authority,1,,,
Madison County Transit District,1,,,
Maryland Transit Administration,1,,,
Mass Transportation Authority,2,,,
Massachusetts Bay Transportation Authority,2,,,
Memphis Area Transit Authority,2,,,
Merrimack Valley Regional Transit Authority,1,,,
Metro Transit System,1,,,
Metropolitan Atlanta Rapid Transit Authority,1,,,
Metropolitan Council,1,,,
