"","agency","agencyid","organizationtype","state","county","city"
"1","METRO Regional Transit Authority","5010","Authority","OH","Summit County","Akron"
"2","METRO Regional Transit Authority","5010","Authority","OH","Summit County","Akron"
"3","Rio Metro Regional Transit District","6111","Authority","NM","Bernalillo County","Albuquerque"
"4","City of Albuquerque Transit Department","6019","City","NM","Bernalillo County","Albuquerque"
"5","Virginia Railway Express","3073","Authority","VA","Alexandria city","Alexandria"
"6","Lehigh and Northampton Transportation Authority","3010","Authority","PA","Lehigh County","Allentown"
"7","Ann Arbor Transportation Authority","5040","Authority","MI","Washtenaw County","Ann Arbor"
"8","The Eastern Contra Costa Transit Authority","9162","Authority","CA","Contra Costa County","Antioch"
"9","City of Appleton - Valley Transit","5001","City","WI","Outagamie County","Appleton"
"10","Arlington Transit - Arlington County","3080","City","VA","Arlington County","Arlington"
"11","Athens Transit System","4047","City","GA","Clarke County","Athens"
"12","Metropolitan Atlanta Rapid Transit Authority","4022","Authority","GA","Fulton County","Atlanta"
"13","Capital Metropolitan Transportation Authority","6048","Authority","TX","Travis County","Austin"
"14","Capital Metropolitan Transportation Authority","6048","Authority","TX","Travis County","Austin"
"15","Golden Empire Transit District","9004","Authority","CA","Kern County","Bakersfield"
"16","Maryland Transit Administration","3034","State Government","MD","Baltimore city","Baltimore"
"17","Capital Area Transit System","6022","Authority","LA","East Baton Rouge Parish","Baton Rouge"
"18","Whatcom Transportation Authority","0021","Authority","WA","Whatcom County","Bellingham"
"19","Whatcom Transportation Authority","0021","Authority","WA","Whatcom County","Bellingham"
"20","Whatcom Transportation Authority","0021","Authority","WA","Whatcom County","Bellingham"
"21","Birmingham-Jefferson County Transit Authority","4042","Authority","AL","Jefferson County","Birmingham"
"22","Blacksburg Transit","3091","City","VA","Montgomery County","Blacksburg"
"23","Massachusetts Bay Transportation Authority","1003","Authority","","Suffolk County",""
"24","Massachusetts Bay Transportation Authority","1003","Authority","MA","Suffolk County","Boston"
"25","Kitsap Transit","0020","Authority","WA","Kitsap County","Bremerton"
"26","Kitsap Transit","0020","Authority","WA","Kitsap County","Bremerton"
"27","Kitsap Transit","0020","Authority","WA","Kitsap County","Bremerton"
"28","City of Brownsville - Brownsville Metro","6014","City","TX","Cameron County","Brownsville"
"29","City of Brownsville - Brownsville Metro","6014","City","TX","Cameron County","Brownsville"
"30","City of Brownsville - Brownsville Metro","6014","City","TX","Cameron County","Brownsville"
"31","Niagara Frontier Transportation Authority","2004","Authority","NY","Erie County","Buffalo"
"32","Niagara Frontier Transportation Authority","2004","Authority","NY","Erie County","Buffalo"
"33","Stark Area Regional Transit Authority","5011","Authority","OH","Stark County","Canton"
"34","Charleston Area Regional Transportation Authority","4110","Authority","SC","Charleston County","Charleston"
"35","Charleston Area Regional Transportation Authority","4110","Authority","SC","Charleston County","Charleston"
"36","Kanawha Valley Regional Transportation Authority","3001","Authority","WV","Kanawha County","Charleston"
"37","Charlotte Area Transit System","4008","City","NC","Mecklenburg County","Charlotte"
"38","JAUNT, Inc.","3045","Semi-Public Corp","VA","Charlottesville city","Charlottesville"
"39","JAUNT, Inc.","3045","Semi-Public Corp","VA","Charlottesville city","Charlottesville"
"40","Chattanooga Area Regional Transportation Authority","4001","City","TN","Hamilton County","Chattanooga"
"41","Northern Indiana Commuter Transportation District","5104","Authority","IN","Porter County","Chesterton"
"42","Northern Indiana Commuter Transportation District","5104","Authority","IN","Porter County","Chesterton"
"43","Chicago Transit Authority","5066","Authority","IL","Cook County","Chicago"
"44","Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail","5118","Authority","IL","Cook County","Chicago"
"45","Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail","5118","Authority","IL","Cook County","Chicago"
"46","Chicago Transit Authority","5066","Authority","IL","Cook County","Chicago"
"47","Chicago Transit Authority","5066","Authority","IL","Cook County","Chicago"
"48","Butte County Association of Governments","9208","MPO","CA","Butte County","Chico"
"49","Butte County Association of Governments","9208","MPO","CA","Butte County","Chico"
"50","The Greater Cleveland Regional Transit Authority","5015","Authority","OH","Cuyahoga County","Cleveland"
"51","The Greater Cleveland Regional Transit Authority","5015","Authority","OH","Cuyahoga County","Cleveland"
"52","Space Coast Area Transit","4063","City","FL","Brevard County","Cocoa"
"53","Mountain Metropolitan Transit","8005","City","CO","El Paso County","Colorado Springs"
"54","Columbia Transit","7016","City","MO","Boone County","Columbia"
"55","Columbia Transit","7016","City","MO","Boone County","Columbia"
"56","Central Midlands Transit","4141","Authority","SC","Richland County","Columbia"
"57","Central Midlands Transit","4141","Authority","SC","Richland County","Columbia"
"58","Central Midlands Transit","4141","Authority","SC","Richland County","Columbia"
"59","Central Contra Costa Transit Authority","9078","Authority","CA","Contra Costa County","Concord"
"60","Culver City Municipal Bus Lines","9039","City","","Los Angeles County",""
"61","Culver City Municipal Bus Lines","9039","City","CA","Los Angeles County","Culver City"
"62","Dallas Area Rapid Transit","6056","Authority","TX","Dallas County","Dallas"
"63","Dallas Area Rapid Transit","6056","Authority","TX","Dallas County","Dallas"
"64","Greater Dayton Regional Transit Authority","5017","Authority","OH","Montgomery County","Dayton"
"65","Denver Regional Transportation District","8006","Authority","CO","Denver County","Denver"
"66","Denver Regional Transportation District","8006","Authority","CO","Denver County","Denver"
"67","Suburban Mobility Authority for Regional Transportation","5031","Authority","MI","Wayne County","Detroit"
"68","Detroit Transportation Corporation","5141","Authority","MI","Wayne County","Detroit"
"69","Suburban Mobility Authority for Regional Transportation","5031","Authority","MI","Wayne County","Detroit"
"70","Suburban Mobility Authority for Regional Transportation","5031","Authority","MI","Wayne County","Detroit"
"71","Delaware Transit Corporation","3075","Authority","DE","Kent County","Dover"
