State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount
AK,Alaska Railroad Corporation (ARRC),41,A,AR,FT,57,"15,659","4,293","6,839","6,810","33,601","31,870",5.5,2.4,5.1,4.4,17.4,12.5
AK,Alaska Railroad Corporation (ARRC),41,A,AR,PT,57,0,0,0,0,0,0,0,0,0,0,0,0
AK,Fairbanks North Star Borough Transit (MACS),45,A,DR,FT,4,"15,987",0,0,"2,109","18,096",0,10,0,0,1.8,11.8,0
AK,Fairbanks North Star Borough Transit (MACS),45,A,DR,PT,4,"3,626",0,0,0,"3,626",0,7,0,0,0,7,0
AK,Fairbanks North Star Borough Transit (MACS),45,A,MB,FT,7,"20,633","2,711",0,"4,404","27,748",0,14,1.5,0,3.2,18.7,0
AK,Fairbanks North Star Borough Transit (MACS),45,A,MB,PT,7,"1,877",777,0,0,"2,654",0,3,2,0,0,5,0
AK,Municipality of Anchorage - Public Transportation Department (People Mover),12,B,MB,FT,46,"199,991","60,458",0,"29,652","290,101","1,786",110,35,0,17,162,1
AK,Municipality of Anchorage - Public Transportation Department (People Mover),12,B,MB,PT,46,0,0,"7,228",0,"7,228",0,0,0,10,0,10,0
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,DR,FT,22,"78,746","9,601",0,"4,698","93,045",0,37.1,6,0,2.8,45.9,0
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,DR,PT,22,0,0,0,0,0,0,0,0,0,0,0,0
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,MB,FT,72,"275,040","64,254","6,230","31,439","376,963","2,800",163.1,36,4,20,223.1,2
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,MB,PT,72,824,0,0,0,824,0,2,0,0,0,2,0
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,FT,14,"28,522","1,624",92,"2,991","33,229",0,11.5,1,0.1,1.4,14,0
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,PT,14,"5,098",809,0,820,"6,727",0,4.2,0.6,0,0.7,5.5,0
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,FT,13,"28,892","1,999",97,"1,958","32,946",0,15,1.2,0.1,1.5,17.8,0
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,PT,13,"13,698","1,176",0,"1,510","16,384",0,17.4,1.4,0,0.8,19.6,0
AL,Lee-Russell Council of Governments (LRCOG),4073,A,DR,FT,13,"26,020",723,173,"2,667","29,583",0,23,1,1,4,29,0
AL,Lee-Russell Council of Governments (LRCOG),4073,A,DR,PT,13,"4,416",157,0,410,"4,983",0,15,1,0,3,19,0
AL,Lee-Russell Council of Governments (LRCOG),4073,A,MB,FT,3,"9,430",434,115,"1,778","11,757",0,6,1,1,4,12,0
AL,Lee-Russell Council of Governments (LRCOG),4073,A,MB,PT,3,"1,026",104,0,273,"1,403",0,2,1,0,3,6,0
AL,Montgomery Area Transit System (MATS),4044,A,DR,FT,13,"37,601","5,580","4,583","8,320","56,084",0,15.7,2.4,1.7,4,23.8,0
AL,Montgomery Area Transit System (MATS),4044,A,DR,PT,13,0,0,"3,143",0,"3,143",0,0,0,1.9,0,1.9,0
AL,Montgomery Area Transit System (MATS),4044,A,MB,FT,19,"91,931","12,880","7,280","14,560","126,651",0,40.3,5.6,3.3,7,56.2,0
AL,Montgomery Area Transit System (MATS),4044,A,MB,PT,19,0,0,"6,004",0,"6,004",0,0,0,5.1,0,5.1,0
AL,Morgan County Area Transportation System (MCATS),4111,A,DR,FT,28,"18,720","2,080",0,"6,240","27,040",0,9,1,0,3,13,0
AL,Morgan County Area Transportation System (MCATS),4111,A,DR,PT,28,"16,900",0,0,0,"16,900",0,13,0,0,0,13,0
AL,Northwest Alabama Council of Local Governments (NACOLG),4068,A,DR,FT,46,"9,680",0,0,"6,900","16,580",0,5,0,0,4,9,0
AL,Northwest Alabama Council of Local Governments (NACOLG),4068,A,DR,PT,46,"33,421",0,0,312,"33,733",0,61,0,0,1,62,0
AL,The Wave Transit System (WTS),4043,A,DR,FT,20,"45,037","6,983","2,258","13,494","67,772",0,19,4,1,7,31,0
AL,The Wave Transit System (WTS),4043,A,DR,PT,20,"1,121",500,"1,100",0,"2,721",0,3,0.5,0.5,0,4,0
AL,The Wave Transit System (WTS),4043,A,MB,FT,24,"103,597","17,041","7,930","15,660","144,228",0,56,7,2,7,72,0
AL,The Wave Transit System (WTS),4043,A,MB,PT,24,"6,401",0,"1,857",0,"8,258",0,5,0,1,0,6,0
AL,Tuscaloosa County Parking and Transit Authority (TMT),4045,A,DR,FT,5,"12,480","3,120",0,"2,080","17,680",0,6,1.5,0,1,8.5,0
AL,Tuscaloosa County Parking and Transit Authority (TMT),4045,A,DR,PT,5,288,0,"1,459",0,"1,747",0,4,0,9,0,13,0
AL,Tuscaloosa County Parking and Transit Authority (TMT),4045,A,MB,FT,9,"24,960","3,120",0,"4,160","32,240",0,12,1.5,0,2,15.5,0
AL,Tuscaloosa County Parking and Transit Authority (TMT),4045,A,MB,PT,9,"3,828",0,"3,404",0,"7,232",0,11,0,9,0,20,0
AL,Wiregrass Transit Authority,4103,A,DR,FT,15,"32,291",0,0,"2,838","35,129",0,19,0,0,11,30,0
AL,Wiregrass Transit Authority,4103,A,DR,PT,15,"15,016",0,0,0,"15,016",0,17,0,0,0,17,0
AR,Central Arkansas Transit Authority (CATA),6033,A,DR,FT,15,"39,806","1,967",0,"5,200","46,973",0,21.5,1,0,2.5,25,0
AR,Central Arkansas Transit Authority (CATA),6033,A,DR,PT,15,"4,495",0,0,0,"4,495",0,0,0,0,0,0,0
AR,Central Arkansas Transit Authority (CATA),6033,A,LR,FT,2,"8,326","2,994",0,803,"12,123",0,4,1.5,0,0.4,5.9,0
AR,Central Arkansas Transit Authority (CATA),6033,A,LR,PT,2,"3,318",0,0,0,"3,318",0,2,0,0,0,2,0
AR,Central Arkansas Transit Authority (CATA),6033,A,MB,FT,46,"211,750","57,628",0,"22,488","291,866","1,960",98,27,0,11.1,136.1,1
AR,Central Arkansas Transit Authority (CATA),6033,A,MB,PT,46,0,0,0,"2,795","2,795",0,0,0,0,2,2,0
AR,Fort Smith Transit (FST),6086,A,DR,FT,4,"17,914","4,021",0,"3,967","25,902",0,8.4,2,0,2,12.4,0
AR,Fort Smith Transit (FST),6086,A,DR,PT,4,"2,962",0,0,0,"2,962",0,2,0,0,0,2,0
AR,Fort Smith Transit (FST),6086,A,MB,FT,9,"29,228","6,561",0,"6,472","42,261",0,13.6,3,0,3,19.6,0
AR,Fort Smith Transit (FST),6086,A,MB,PT,9,"4,832",0,0,0,"4,832",0,3,0,0,0,3,0
AR,Ozark Regional Transit (ORT),6072,A,DR,FT,17,"52,000","4,160",0,"12,480","68,640",0,25,2,0,6,33,0
AR,Ozark Regional Transit (ORT),6072,A,DR,PT,17,"6,000",957,0,"1,040","7,997",0,5,1,0,1,7,0
AR,Ozark Regional Transit (ORT),6072,A,MB,FT,7,"12,480",0,0,"2,080","14,560",0,6,0,0,1,7,0
AR,Ozark Regional Transit (ORT),6072,A,MB,PT,7,0,"1,123",0,"1,000","2,123",0,0,1,0,1,2,0
AR,"University of Arkansas, Fayetteville (Razorback Transit)",6062,A,DR,FT,3,"8,750","1,921",0,"3,630","14,301",0,4.2,1,0,1.8,7,0
AR,"University of Arkansas, Fayetteville (Razorback Transit)",6062,A,DR,PT,3,"1,088",11,0,0,"1,099",0,1,0.1,0,0,1.1,0
AR,"University of Arkansas, Fayetteville (Razorback Transit)",6062,A,MB,FT,14,"39,866","8,557",0,"7,490","55,913",0,18,3.6,0,4.6,26.2,0
AR,"University of Arkansas, Fayetteville (Razorback Transit)",6062,A,MB,PT,14,"9,696",523,0,523,"10,742",0,12.6,0.7,0,0.7,14,0
AZ,City of Glendale Transit,9034,B,DR,FT,13,"51,220","2,155",0,"1,040","54,415",0,31,1.5,0,0.5,33,0
AZ,City of Glendale Transit,9034,B,DR,PT,13,"12,014",0,0,0,"12,014",0,12.5,0,0,0,12.5,0
AZ,City of Glendale Transit,9034,B,MB,FT,5,"9,148","1,155",0,0,"10,303",0,5.5,0.6,0,0,6.1,0
AZ,City of Glendale Transit,9034,B,MB,PT,5,"10,700",0,0,0,"10,700",0,9,0,0,0,9,0
AZ,City of Tucson (COT),9033,A,DR,FT,94,"285,947",0,"9,360","16,640","311,947",0,135,0,5,8,148,0
AZ,City of Tucson (COT),9033,A,DR,PT,94,"100,326",0,0,0,"100,326",0,76,0,0,0,76,0
AZ,City of Tucson (COT),9033,A,MB,FT,155,"715,822","173,675","13,502","113,058","1,016,057",0,366,94,7,62,529,0
AZ,City of Tucson (COT),9033,A,MB,PT,155,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Coconino County Transportation Services (Mountain Line/VanGo),9180,A,DR,FT,5,"17,888",0,0,"3,120","21,008",0,8.6,0,0,1.5,10.1,0
AZ,Coconino County Transportation Services (Mountain Line/VanGo),9180,A,DR,PT,5,"4,160",416,0,0,"4,576",0,4,0.4,0,0,4.4,0
AZ,Coconino County Transportation Services (Mountain Line/VanGo),9180,A,MB,FT,7,"40,352","4,160",0,"9,360","53,872",0,19.4,2,0,4.5,25.9,0
AZ,Coconino County Transportation Services (Mountain Line/VanGo),9180,A,MB,PT,7,"7,280","1,664",0,"1,248","10,192",0,7,1.6,0,0.6,9.2,0
AZ,Maricopa County Special Transportation Services (MCHSD),9132,A,DR,FT,34,"84,991",0,0,"13,848","98,839",0,49,0,0,8,57,0
AZ,Maricopa County Special Transportation Services (MCHSD),9132,A,DR,PT,34,"4,511",0,0,0,"4,511",0,4,0,0,0,4,0
AZ,Peoria Transit,9140,A,DR,FT,8,"7,800",0,0,"6,240","14,040",0,3.8,0,0,3,6.8,0
