State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount
AK,Alaska Railroad Corporation (ARRC),0041,A,AR,FT,57,"18,138","5,348","7,575","7,508","38,569","31,533",5.4 ,2.4 ,5.6 ,5.0 ,18.4 ,12.4 
AK,Alaska Railroad Corporation (ARRC),0041,A,AR,PT,57,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
AK,Fairbanks North Star Borough Transit (MACS),0045,A,DR,FT,5,"23,429","1,324",0,"2,960","27,713",0,12.0 ,0.8 ,0.0 ,1.7 ,14.5 ,0.0 
AK,Fairbanks North Star Borough Transit (MACS),0045,A,DR,PT,5,658,832,0,0,"1,490",0,2.0 ,0.8 ,0.0 ,0.0 ,2.8 ,0.0 
AK,Fairbanks North Star Borough Transit (MACS),0045,A,MB,FT,7,"26,120","3,029",0,"4,420","33,569",0,14.0 ,1.6 ,0.0 ,3.1 ,18.7 ,0.0 
AK,Fairbanks North Star Borough Transit (MACS),0045,A,MB,PT,7,"1,984","1,384",0,0,"3,368",0,4.0 ,0.9 ,0.0 ,0.0 ,4.9 ,0.0 
AK,Municipality of Anchorage - Public Transportation Department (People Mover),0012,B,MB,FT,46,"197,342","59,768",0,"28,139","285,249","1,814",112.0 ,35.0 ,0.0 ,17.0 ,164.0 ,1.0 
AK,Municipality of Anchorage - Public Transportation Department (People Mover),0012,B,MB,PT,46,0,0,"6,528",0,"6,528",0,0.0 ,0.0 ,8.0 ,0.0 ,8.0 ,0.0 
AK,"VPSI, Anchorage",0049,D,VP,FT,41,0,0,0,"2,360","2,360",0,0.0 ,0.0 ,0.0 ,2.0 ,2.0 ,0.0 
AK,"VPSI, Anchorage",0049,D,VP,PT,41,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,DR,FT,24,"75,313","9,849",0,"6,029","91,191",0,38.7 ,6.2 ,0.0 ,3.6 ,48.5 ,0.0 
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,DR,PT,24,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,MB,FT,70,"297,573","65,910","7,530","37,700","408,713",0,174.0 ,36.3 ,4.6 ,22.6 ,237.5 ,0.0 
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,MB,PT,70,"2,652",0,0,0,"2,652",0,2.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,FT,14,"29,264","1,310",72,"3,072","33,718",0,11.5 ,1.0 ,0.1 ,1.4 ,14.0 ,0.0 
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,PT,14,"7,238",978,0,820,"9,036",0,4.2 ,0.6 ,0.0 ,0.7 ,5.5 ,0.0 
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,FT,13,"29,664","2,637",96,"2,048","34,445",0,15.0 ,1.2 ,0.1 ,1.5 ,17.8 ,0.0 
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,PT,13,"14,356","1,683",0,"1,384","17,423",0,17.4 ,1.4 ,0.0 ,0.8 ,19.6 ,0.0 
AL, Lee-Russell Council of Governments (LRCOG),4073,A,DR,FT,12,"13,272",683,0,883,"14,838",0,7.0 ,0.4 ,0.0 ,0.5 ,7.9 ,0.0 
AL, Lee-Russell Council of Governments (LRCOG),4073,A,DR,PT,12,"8,311",248,0,304,"8,863",0,11.0 ,2.0 ,0.0 ,1.0 ,14.0 ,0.0 
AL, Lee-Russell Council of Governments (LRCOG),4073,A,MB,FT,2,"8,969",683,0,883,"10,535",0,6.4 ,0.4 ,0.0 ,0.5 ,7.3 ,0.0 
