State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount
AK,Alaska Railroad Corporation (ARRC),0041,A,AR,FT,57,"18,145.0","6,068.0","8,530.0","7,989.0","40,732.0","33,029.0",6.9,3.0,6.3,5.2,21.4,12.7
AK,Alaska Railroad Corporation (ARRC),0041,A,AR,PT,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Total,,57,"18,145.0","6,068.0","8,530.0","7,989.0","40,732.0","33,029.0",6.9,3.0,6.3,5.2,21.4,12.7
AK,Fairbanks North Star Borough Transit (MACS),0045,A,DR,FT,5,"23,149.0","1,449.0",0.0,"3,048.0","27,646.0",0.0,11.0,1.0,0.0,2.0,14.0,0.0
AK,Fairbanks North Star Borough Transit (MACS),0045,A,DR,PT,5,"1,087.0","1,010.0",0.0,325.0,"2,422.0",0.0,3.0,0.9,0.0,0.8,4.7,0.0
AK,Fairbanks North Star Borough Transit (MACS),0045,A,MB,FT,7,"27,535.0","4,259.0",0.0,"4,572.0","36,366.0",0.0,15.0,2.1,0.0,3.0,20.1,0.0
AK,Fairbanks North Star Borough Transit (MACS),0045,A,MB,PT,7,"1,013.0",472.0,0.0,488.0,"1,973.0",0.0,4.0,0.5,0.0,1.2,5.7,0.0
,,,,Total,,12,"52,784.0","7,190.0",0.0,"8,433.0","68,407.0",0.0,33.0,4.5,0.0,7.0,44.5,0.0
AK,Municipality of Anchorage - Public Transportation Department (People Mover),0012,B,MB,FT,46,"196,780.0","60,570.0",0.0,"31,245.0","288,595.0","1,736.0",113.0,35.0,0.0,17.0,165.0,1.0
AK,Municipality of Anchorage - Public Transportation Department (People Mover),0012,B,MB,PT,46,0.0,0.0,"6,739.0","1,178.0","7,917.0",0.0,0.0,0.0,8.0,2.0,10.0,0.0
,,,,Total,,46,"196,780.0","60,570.0","6,739.0","32,423.0","296,512.0","1,736.0",113.0,35.0,8.0,19.0,175.0,1.0
AK,"VPSI, Anchorage",0049,D,VP,FT,42,0.0,0.0,0.0,"3,952.0","3,952.0",0.0,0.0,0.0,0.0,2.0,2.0,0.0
AK,"VPSI, Anchorage",0049,D,VP,PT,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Total,,42,0.0,0.0,0.0,"3,952.0","3,952.0",0.0,0.0,0.0,0.0,2.0,2.0,0.0
AL,Lee-Russell Council of Governments (LRCOG),4073,A,DR,FT,12,"14,217.0",866.0,0.0,544.0,"15,627.0",0.0,8.0,0.5,0.0,0.6,9.1,0.0
AL,Lee-Russell Council of Governments (LRCOG),4073,A,DR,PT,12,"5,539.0",450.0,0.0,0.0,"5,989.0",0.0,8.0,2.5,0.0,0.0,10.5,0.0
AL,Lee-Russell Council of Governments (LRCOG),4073,A,MB,FT,2,"5,669.0",789.0,0.0,544.0,"7,002.0",0.0,4.0,0.5,0.0,0.8,5.3,0.0
AL,Lee-Russell Council of Governments (LRCOG),4073,A,MB,PT,2,739.0,80.0,0.0,0.0,819.0,0.0,1.1,0.5,0.0,0.0,1.6,0.0
,,,,Total,,14,"26,164.0","2,185.0",0.0,"1,088.0","29,437.0",0.0,21.1,4.0,0.0,1.4,26.5,0.0
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,DR,FT,23,"100,608.0","9,795.0","1,676.0","7,305.0","119,384.0",0.0,48.0,5.5,0.9,4.0,58.4,0.0
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,DR,PT,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,MB,FT,70,"307,609.0","64,356.0","5,026.0","48,889.0","425,880.0",0.0,167.0,33.0,2.4,27.0,229.4,0.0
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,MB,PT,70,"2,667.0",0.0,0.0,0.0,"2,667.0",0.0,2.0,0.0,0.0,0.0,2.0,0.0
,,,,Total,,93,"410,884.0","74,151.0","6,702.0","56,194.0","547,931.0",0.0,217.0,38.5,3.3,31.0,289.8,0.0
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,FT,14,"28,766.0",713.0,112.0,"2,828.0","32,419.0",0.0,14.0,0.4,0.1,1.4,15.9,0.0
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,PT,14,"7,682.0","1,813.0",0.0,292.0,"9,787.0",0.0,5.7,1.7,0.0,0.2,7.6,0.0
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,FT,13,"29,770.0","1,430.0",112.0,"3,079.0","34,391.0",0.0,15.0,0.8,0.1,2.3,18.2,0.0
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,PT,13,"14,334.0","2,271.0",0.0,109.0,"16,714.0",0.0,16.9,1.9,0.0,0.1,18.9,0.0
,,,,Total,,27,"80,552.0","6,227.0",224.0,"6,308.0","93,311.0",0.0,51.6,4.8,0.2,4.0,60.6,0.0
AL,Montgomery Area Transit System (MATS),4044,A,DR,FT,8,"33,603.0","6,549.0",520.0,"4,873.0","45,545.0",0.0,15.5,3.4,0.3,2.6,21.8,0.0
AL,Montgomery Area Transit System (MATS),4044,A,DR,PT,8,"1,967.0",539.0,0.0,0.0,"2,506.0",0.0,2.3,0.5,0.0,0.0,2.8,0.0
AL,Montgomery Area Transit System (MATS),4044,A,MB,FT,23,"127,364.0","16,742.0","1,494.0","14,009.0","159,609.0",0.0,59.5,7.6,0.7,7.4,75.2,0.0
AL,Montgomery Area Transit System (MATS),4044,A,MB,PT,23,"5,655.0","1,542.0",0.0,0.0,"7,197.0",0.0,6.7,1.5,0.0,0.0,8.2,0.0
,,,,Total,,31,"168,589.0","25,372.0","2,014.0","18,882.0","214,857.0",0.0,84.0,13.0,1.0,10.0,108.0,0.0
AL,Morgan County Area Transportation System (MCATS),4111,A,DR,FT,28,"16,640.0","2,080.0",0.0,"2,080.0","20,800.0",0.0,8.0,1.0,0.0,1.0,10.0,0.0
AL,Morgan County Area Transportation System (MCATS),4111,A,DR,PT,28,"8,736.0",0.0,0.0,"4,160.0","12,896.0",0.0,21.0,0.0,0.0,4.0,25.0,0.0
,,,,Total,,28,"25,376.0","2,080.0",0.0,"6,240.0","33,696.0",0.0,29.0,1.0,0.0,5.0,35.0,0.0
AL,Northwest Alabama Council of Local Governments (NACOLG),4068,A,DR,FT,52,"7,265.0",0.0,0.0,"7,232.0","14,497.0",0.0,5.0,0.0,0.0,4.0,9.0,0.0
AL,Northwest Alabama Council of Local Governments (NACOLG),4068,A,DR,PT,52,"43,596.0",0.0,0.0,77.0,"43,673.0",0.0,61.0,0.0,0.0,1.0,62.0,0.0
,,,,Total,,52,"50,861.0",0.0,0.0,"7,309.0","58,170.0",0.0,66.0,0.0,0.0,5.0,71.0,0.0
AL,The Wave Transit System (WTS),4043,A,DR,FT,26,"76,510.0","8,852.0","2,043.0","11,343.0","98,748.0",0.0,31.0,4.0,1.0,8.0,44.0,0.0
AL,The Wave Transit System (WTS),4043,A,DR,PT,26,"2,520.0","1,008.0",0.0,0.0,"3,528.0",0.0,2.0,1.0,0.0,0.0,3.0,0.0
AL,The Wave Transit System (WTS),4043,A,MB,FT,23,"137,568.0","21,159.0","6,748.0","22,044.0","187,519.0",0.0,61.0,9.0,3.0,11.0,84.0,0.0
AL,The Wave Transit System (WTS),4043,A,MB,PT,23,"7,650.0",0.0,"4,212.0",0.0,"11,862.0",0.0,6.0,0.0,3.0,0.0,9.0,0.0
