State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
AK,Alaska Railroad Corporation(ARRC),0041,A,AR,FT,37,"16,314.0","6,819.0","7,030.0","6,457.0","36,620.0","27,461.0",5.2,2.7,5.2,3.9,17.0,11.0,
AK,Alaska Railroad Corporation(ARRC),0041,A,AR,PT,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,DR,FT,6,"19,930.0","1,759.0",0.0,"3,138.0","24,827.0",0.0,14.0,1.1,0.0,2.4,17.5,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,DR,PT,6,"4,605.0",175.0,0.0,31.0,"4,811.0",0.0,4.0,0.4,0.0,0.1,4.5,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,MB,FT,8,"26,852.0","3,683.0",0.0,"3,650.0","34,185.0",0.0,16.0,2.2,0.0,2.7,20.9,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,MB,PT,8,"5,945.0",292.0,0.0,289.0,"6,526.0",0.0,4.0,1.3,0.0,0.3,5.6,0.0,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,B,MB,FT,45,"197,466.0","52,221.0",0.0,"30,426.0","280,113.0","1,676.0",108.0,32.0,0.0,17.0,157.0,1.0,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,B,MB,PT,45,0.0,0.0,"6,225.0","1,572.0","7,797.0",0.0,0.0,0.0,7.0,2.0,9.0,0.0,
AK,"VPSI, Anchorage",0049,D,VP,FT,54,0.0,0.0,0.0,"3,768.0","3,768.0",0.0,0.0,0.0,0.0,2.0,2.0,0.0,
AK,"VPSI, Anchorage",0049,D,VP,PT,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,DR,FT,14,"26,309.0","1,436.0",0.0,"1,632.0","29,377.0",0.0,12.2,1.0,0.0,1.0,14.2,0.0,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,DR,PT,14,"6,701.0","1,633.0",0.0,0.0,"8,334.0",0.0,8.7,1.2,0.0,0.0,9.9,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,DR,FT,26,"93,662.0","12,650.0","1,680.0","9,702.0","117,694.0",0.0,45.0,7.0,0.9,5.2,58.1,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,DR,PT,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,MB,FT,71,"302,710.0","62,138.0","4,028.0","49,440.0","418,316.0",0.0,169.0,33.0,2.4,27.0,231.4,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,MB,PT,71,"2,612.0",0.0,0.0,0.0,"2,612.0",0.0,2.0,0.0,0.0,0.0,2.0,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,A,DR,FT,15,"28,479.0","2,763.0",0.0,"1,855.0","33,097.0",0.0,17.9,1.7,0.0,1.2,20.8,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,A,DR,PT,15,"12,586.0",888.0,66.0,392.0,"13,932.0",0.0,11.2,1.5,0.1,0.2,13.0,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,A,MB,FT,13,"32,152.0","3,056.0",0.0,"1,542.0","36,750.0",0.0,16.3,2.3,0.0,1.0,19.6,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,A,MB,PT,13,"17,671.0",699.0,66.0,296.0,"18,732.0",0.0,14.8,1.6,0.1,0.2,16.7,0.0,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,A,DR,FT,8,"29,370.0","5,468.0",933.0,"5,057.0","40,828.0",0.0,15.3,3.1,0.5,2.5,21.4,0.0,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,A,DR,PT,8,"2,146.0",530.0,208.0,0.0,"2,884.0",0.0,3.0,0.5,0.3,0.0,3.8,0.0,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,A,MB,FT,25,"123,347.0","16,403.0","2,798.0","13,781.0","156,329.0",0.0,62.7,8.9,1.5,8.0,81.1,0.0,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,A,MB,PT,25,"9,437.0","1,589.0",624.0,"2,755.0","14,405.0",0.0,10.0,1.5,0.7,2.0,14.2,0.0,
AL,Morgan County Area Transportation System(MCATS),4111,A,DR,FT,28,"18,650.0","2,000.0",0.0,0.0,"20,650.0",0.0,10.0,1.0,0.0,0.0,11.0,0.0,
AL,Morgan County Area Transportation System(MCATS),4111,A,DR,PT,28,"20,856.0",0.0,0.0,"3,615.0","24,471.0",0.0,20.0,0.0,0.0,4.0,24.0,0.0,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,A,DR,FT,54,"6,590.0",0.0,0.0,"7,198.0","13,788.0",0.0,4.0,0.0,0.0,4.0,8.0,0.0,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,A,DR,PT,54,"45,019.0",0.0,0.0,0.0,"45,019.0",0.0,63.0,0.0,0.0,0.0,63.0,0.0,
AL,The Wave Transit System(WTS),4043,A,DR,FT,25,"49,836.0","4,992.0",958.0,"19,094.0","74,880.0",0.0,26.0,3.0,0.5,11.0,40.5,0.0,
AL,The Wave Transit System(WTS),4043,A,DR,PT,25,"3,900.0","1,456.0",0.0,0.0,"5,356.0",0.0,3.0,1.0,0.0,0.0,4.0,0.0,
AL,The Wave Transit System(WTS),4043,A,MB,FT,23,"118,201.0","28,360.0",958.0,"17,390.0","164,909.0",0.0,61.0,14.0,0.5,9.0,84.5,0.0,
AL,The Wave Transit System(WTS),4043,A,MB,PT,23,"5,616.0","4,056.0",0.0,0.0,"9,672.0",0.0,4.0,3.0,0.0,0.0,7.0,0.0,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,A,DR,FT,5,"9,250.0","1,467.0",0.0,"1,796.0","12,513.0",0.0,5.0,1.0,0.0,1.0,7.0,0.0,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,A,DR,PT,5,"1,306.0","1,228.0",104.0,0.0,"2,638.0",0.0,1.0,3.0,1.0,0.0,5.0,0.0,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,A,MB,FT,7,"19,624.0","2,980.0",0.0,"2,702.0","25,306.0",0.0,11.0,1.5,0.0,1.5,14.0,0.0,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,A,MB,PT,7,"1,382.0","2,048.0",301.0,0.0,"3,731.0",0.0,3.0,4.0,1.0,0.0,8.0,0.0,
AL,Wiregrass Transit Authority,4103,B,DR,FT,15,"37,764.0",0.0,0.0,"3,046.0","40,810.0",0.0,19.0,0.0,0.0,1.5,20.5,0.0,
AL,Wiregrass Transit Authority,4103,B,DR,PT,15,"13,641.0",0.0,0.0,26.0,"13,667.0",0.0,12.0,0.0,0.0,0.0,12.0,0.0,
AR,Central Arkansas Transit Authority(CATA),6033,A,DR,FT,18,"41,338.0","2,384.0",0.0,"4,056.0","47,778.0",0.0,23.0,1.6,0.0,2.0,26.6,0.0,
