State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
AK,Alaska Railroad Corporation(ARRC),0041,Other Public,AR,FT,30,"15,009.0","6,673.0","7,040.0","6,417.0","35,139.0","24,486.0",5.2,2.6,4.7,3.8,16.3,10.2,
AK,Alaska Railroad Corporation(ARRC),0041,Other Public,AR,PT,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,Total,,30,"15,009.0","6,673.0","7,040.0","6,417.0","35,139.0","24,486.0",5.2,2.6,4.7,3.8,16.3,10.2,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,DR,FT,6,"22,413.0","1,642.0",0.0,"3,182.0","27,237.0",0.0,11.0,0.8,0.0,3.5,15.3,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,DR,PT,6,"4,133.0",292.0,0.0,0.0,"4,425.0",0.0,4.0,0.2,0.0,0.0,4.2,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,MB,FT,8,"28,970.0","5,372.0",0.0,"4,844.0","39,186.0",0.0,16.0,2.7,0.0,3.5,22.2,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,MB,PT,8,"6,020.0",89.0,0.0,0.0,"6,109.0",0.0,10.0,0.1,0.0,0.0,10.1,0.0,
,,,,Total,,14,"61,536.0","7,395.0",0.0,"8,026.0","76,957.0",0.0,41.0,3.8,0.0,7.0,51.8,0.0,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,MB,FT,43,"184,209.0","55,372.0",0.0,"31,633.0","271,214.0","1,763.0",102.0,32.0,0.0,20.0,154.0,1.0,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,MB,PT,43,0.0,0.0,"4,412.0",0.0,"4,412.0",0.0,0.0,0.0,4.0,0.0,4.0,0.0,
,,,,Total,,43,"184,209.0","55,372.0","4,412.0","31,633.0","275,626.0","1,763.0",102.0,32.0,4.0,20.0,158.0,1.0,
