State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
AK,Alaska Railroad Corporation(ARRC),0041,State Government,AR,FT,30,"141,834.0","64,749.0","71,677.0","66,369.0","344,629.0","164,493.0",50.1,27.1,48.8,36.7,162.7,68.6,
AK,Alaska Railroad Corporation(ARRC),0041,State Government,AR,PT,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,MB,FT,43,"188,321.0","54,333.0",0.0,"29,920.0","272,574.0","1,404.0",102.0,30.0,0.0,17.0,149.0,1.0,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,MB,PT,43,0.0,0.0,"6,248.0",0.0,"6,248.0",0.0,0.0,0.0,4.0,0.0,4.0,0.0,
AK,"vRide, Anchorage",0049,Contractor,VP,FT,66,0.0,0.0,0.0,"3,728.0","3,728.0",0.0,0.0,0.0,0.0,2.0,2.0,0.0,
AK,"vRide, Anchorage",0049,Contractor,VP,PT,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,DR,FT,26,"100,847.0","10,684.0",779.0,"7,217.0","119,527.0",0.0,58.0,5.8,0.4,4.0,68.2,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,DR,PT,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,MB,FT,68,"365,065.0","89,736.0","5,402.0","47,741.0","507,944.0",0.0,198.0,48.0,3.0,26.0,275.0,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,MB,PT,68,"2,724.0",0.0,0.0,0.0,"2,724.0",0.0,2.0,0.0,0.0,0.0,2.0,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,DR,FT,16,"29,412.0","3,206.0",0.0,"2,286.0","34,904.0",0.0,16.8,2.0,0.0,1.5,20.3,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,DR,PT,16,"13,018.0","1,579.0",38.0,645.0,"15,280.0",0.0,11.1,1.8,0.1,0.5,13.5,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,MB,FT,13,"30,965.0","2,797.0",0.0,"1,888.0","35,650.0",0.0,16.6,1.6,0.0,1.2,19.4,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,MB,PT,13,"16,140.0","1,035.0",38.0,472.0,"17,685.0",0.0,16.6,1.3,0.1,0.5,18.5,0.0,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,DR,FT,8,"22,798.0","5,834.0",905.0,"2,781.0","32,318.0",0.0,15.0,3.0,0.5,1.5,20.0,0.0,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,DR,PT,8,"3,815.0",697.0,0.0,0.0,"4,512.0",0.0,3.5,0.5,0.0,0.0,4.0,0.0,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,MB,FT,21,"109,036.0","15,412.0","3,020.0","13,391.0","140,859.0",0.0,55.0,7.0,1.5,7.0,70.5,0.0,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,MB,PT,21,"10,826.0","2,091.0",571.0,"3,538.0","17,026.0",0.0,9.5,1.5,1.0,3.0,15.0,0.0,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,MPO,DR,FT,40,"6,596.0",0.0,0.0,"4,329.0","10,925.0",0.0,4.0,0.0,0.0,3.0,7.0,0.0,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,MPO,DR,PT,40,"36,105.0",0.0,0.0,636.0,"36,741.0",0.0,63.0,0.0,0.0,1.0,64.0,0.0,
AL,The Wave Transit System(WTS),4043,City,DR,FT,28,"54,130.0","9,168.0",817.0,"17,191.0","81,306.0",0.0,28.0,4.0,0.5,9.0,41.5,0.0,
AL,The Wave Transit System(WTS),4043,City,DR,PT,28,"5,408.0",0.0,0.0,0.0,"5,408.0",0.0,4.0,0.0,0.0,0.0,4.0,0.0,
AL,The Wave Transit System(WTS),4043,City,MB,FT,23,"112,261.0","30,820.0",817.0,"16,693.0","160,591.0",0.0,55.0,14.0,0.5,8.0,77.5,0.0,
AL,The Wave Transit System(WTS),4043,City,MB,PT,23,"4,703.0","5,408.0",0.0,0.0,"10,111.0",0.0,4.0,4.0,0.0,0.0,8.0,0.0,
AL,Wiregrass Transit Authority(WTA),4103,MPO,DR,FT,15,"36,227.0",0.0,0.0,"2,513.0","38,740.0",0.0,21.0,0.0,0.0,1.2,22.2,0.0,
AL,Wiregrass Transit Authority(WTA),4103,MPO,DR,PT,15,"15,009.0",0.0,0.0,0.0,"15,009.0",0.0,13.0,0.0,0.0,0.0,13.0,0.0,
AR,Central Arkansas Transit Authority(CATA),6033,Authority,DR,FT,19,"44,357.0","1,812.0",0.0,"4,165.0","50,334.0",0.0,23.0,1.0,0.0,2.0,26.0,0.0,
