State,Agency,AgencyID,OrgType,SSW,UZA Size,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,TotalEmployeeHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,TotalEmployeeCount
AK,Alaska Railroad Corporation(ARRC),41,State Government,N,"200,000 - 1 million",AR,Full Time,32,"147,401.00","63,858.00","78,953.00","61,629.00","351,841.00","133,241.00","485,082.00",55.1,32.8,52.2,34.7,174.8,57.5,232.3
AK,Alaska Railroad Corporation(ARRC),41,State Government,N,"200,000 - 1 million",AR,Part Time,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Alaska Railroad Corporation(ARRC),41,State Government,N,"200,000 - 1 million",Total,,32,"147,401.00","63,858.00","78,953.00","61,629.00","351,841.00","133,241.00","485,082.00",55.1,32.8,52.2,34.7,174.8,57.5,232.3
AK,Municipality of Anchorage - Public Transportation Department(People Mover),12,City,N,"200,000 - 1 million",MB,Full Time,44,"192,971.00","56,070.00","5,667.00","30,364.00","285,072.00","1,644.00","286,716.00",102,32,3,20,157,1,158
AK,Municipality of Anchorage - Public Transportation Department(People Mover),12,City,N,"200,000 - 1 million",MB,Part Time,44,0,0,"1,187.00",0,"1,187.00",0,"1,187.00",0,0,1,0,1,0,1
AK,Municipality of Anchorage - Public Transportation Department(People Mover),12,City,N,"200,000 - 1 million",Total,,44,"192,971.00","56,070.00","6,854.00","30,364.00","286,259.00","1,644.00","287,903.00",102,32,4,20,158,1,159
AK,"vRide, Inc. - Anchorage",49,Contractor,N,"200,000 - 1 million",VP,Full Time,67,0,0,0,"4,144.00","4,144.00",0,"4,144.00",0,0,0,2,2,0,2
AK,"vRide, Inc. - Anchorage",49,Contractor,N,"200,000 - 1 million",VP,Part Time,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,"vRide, Inc. - Anchorage",49,Contractor,N,"200,000 - 1 million",Total,,67,0,0,0,"4,144.00","4,144.00",0,"4,144.00",0,0,0,2,2,0,2
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,N,"200,000 - 1 million",MB,Full Time,68,"369,054.00","85,794.00","19,563.00","53,249.00","527,660.00",0,"527,660.00",167,51,9.4,30,257.4,0,257.4
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,N,"200,000 - 1 million",MB,Part Time,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,N,"200,000 - 1 million",DR,Full Time,26,"100,920.00","10,240.00","2,605.00","7,201.00","120,966.00",0,"120,966.00",49,5.5,1.6,4,60.1,0,60.1
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,N,"200,000 - 1 million",DR,Part Time,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,N,"200,000 - 1 million",Total,,94,"469,974.00","96,034.00","22,168.00","60,450.00","648,626.00",0,"648,626.00",216,56.5,11,34,317.5,0,317.5
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,"200,000 - 1 million",MB,Full Time,13,"37,080.00","3,470.00",37,"2,166.00","42,753.00",0,"42,753.00",20,2,0.1,1.3,23.4,0,23.4
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,"200,000 - 1 million",MB,Part Time,13,"11,037.00",530,0,106,"11,673.00",0,"11,673.00",12,1,0,0.1,13.1,0,13.1
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,"200,000 - 1 million",DR,Full Time,16,"31,871.00","4,167.00",37,"2,672.00","38,747.00",0,"38,747.00",17.2,2.2,0.1,1.7,21.2,0,21.2
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,"200,000 - 1 million",DR,Part Time,16,"9,046.00",758,0,106,"9,910.00",0,"9,910.00",10.3,1.2,0,0.1,11.6,0,11.6
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,"200,000 - 1 million",Total,,29,"89,034.00","8,925.00",74,"5,050.00","103,083.00",0,"103,083.00",59.5,6.4,0.2,3.2,69.3,0,69.3
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,N,"200,000 - 1 million",MB,Full Time,21,"97,458.00","15,097.00","3,342.00","11,188.00","127,085.00",0,"127,085.00",50,8,1.8,6,65.8,0,65.8
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,N,"200,000 - 1 million",MB,Part Time,21,"11,080.00","1,759.00",0,"3,437.00","16,276.00",0,"16,276.00",8.3,1.5,0,3,12.8,0,12.8
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,N,"200,000 - 1 million",DR,Full Time,8,"24,758.00","5,618.00",496,"3,129.00","34,001.00",0,"34,001.00",15,3,0.3,1.8,20.1,0,20.1
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,N,"200,000 - 1 million",DR,Part Time,8,"3,693.00",586,0,0,"4,279.00",0,"4,279.00",2.8,0.5,0,0,3.3,0,3.3
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,N,"200,000 - 1 million",Total,,29,"136,989.00","23,060.00","3,838.00","17,754.00","181,641.00",0,"181,641.00",76.1,13,2.1,10.8,102,0,102
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,MPO,N,"Under 200,000",DR,Full Time,40,"5,243.00",0,0,"3,325.00","8,568.00",0,"8,568.00",3,0,0,2,5,0,5
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,MPO,N,"Under 200,000",DR,Part Time,40,"33,140.00",0,0,547,"33,687.00",0,"33,687.00",48,0,0,1,49,0,49
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,MPO,N,"Under 200,000",Total,,40,"38,383.00",0,0,"3,872.00","42,255.00",0,"42,255.00",51,0,0,3,54,0,54
AL,The Wave Transit System(WTS),4043,City,N,"200,000 - 1 million",MB,Full Time,23,"122,508.00","30,074.00",954,"14,993.00","168,529.00",0,"168,529.00",53,14,0.5,8,75.5,0,75.5
AL,The Wave Transit System(WTS),4043,City,N,"200,000 - 1 million",MB,Part Time,23,"3,978.00","4,134.00",0,0,"8,112.00",0,"8,112.00",3,3,0,0,6,0,6
AL,The Wave Transit System(WTS),4043,City,N,"200,000 - 1 million",DR,Full Time,28,"53,369.00","10,025.00",954,"12,596.00","76,944.00",0,"76,944.00",28,5,0.5,7,40.5,0,40.5
AL,The Wave Transit System(WTS),4043,City,N,"200,000 - 1 million",DR,Part Time,28,"3,744.00",0,0,0,"3,744.00",0,"3,744.00",3,0,0,0,3,0,3
