State,Agency,AgencyNTDID,AgencyID,OrgType,ReporterType,UZA Size,WholeAgencyVOMsSize,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,TotalEmployeeHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,TotalEmployeeCount
AK,Alaska Railroad Corporation(ARRC),00041,0041,State Government,Full Reporter: Operating,"200,000 - 1 million",25-49,AR,Full Time,32,"161,828","67,044","85,222","65,767","379,861","92,719","472,580",56.5,37.8,60.9,40.8,196.1,40.1,236.2
AK,Alaska Railroad Corporation(ARRC),00041,0041,State Government,Full Reporter: Operating,"200,000 - 1 million",25-49,Total,,32,"161,828","67,044","85,222","65,767","379,861","92,719","472,580",56.5,37.8,60.9,40.8,196.1,40.1,236.2
AK,Municipality of Anchorage - Public Transportation Department(People Mover),00012,0012,City,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,44,"195,266","51,249","5,573","28,077","280,165","1,682","281,847",106.0,32.0,3.0,17.0,158.0,1.0,159.0
AK,Municipality of Anchorage - Public Transportation Department(People Mover),00012,0012,City,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,44,,,873,,873,,873,,,1.0,,1.0,,1.0
AK,Municipality of Anchorage - Public Transportation Department(People Mover),00012,0012,City,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,44,"195,266","51,249","6,446","28,077","281,038","1,682","282,720",106.0,32.0,4.0,17.0,159.0,1.0,160.0
AK,"vRide, Inc. - Anchorage",00049,0049,Contractor,Full Reporter: Operating,"200,000 - 1 million",50-99,VP,Full Time,66,,,,"3,312","3,312",,"3,312",,,,2.0,2.0,,2.0
AK,"vRide, Inc. - Anchorage",00049,0049,Contractor,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,66,,,,"3,312","3,312",,"3,312",,,,2.0,2.0,,2.0
AL,Birmingham-Jefferson County Transit Authority(MAX),40042,4042,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Full Time,25,"98,907","11,612","5,158","8,657","124,334",,"124,334",51.0,5.0,3.0,5.0,64.0,,64.0
AL,Birmingham-Jefferson County Transit Authority(MAX),40042,4042,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Part Time,25,"1,745",,,,"1,745",,"1,745",1.0,,,,1.0,,1.0
AL,Birmingham-Jefferson County Transit Authority(MAX),40042,4042,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,65,"293,361","93,953","20,630","63,483","471,427",,"471,427",156.0,44.0,10.0,33.0,243.0,,243.0
AL,Birmingham-Jefferson County Transit Authority(MAX),40042,4042,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,65,"2,212",,,,"2,212",,"2,212",2.0,,,,2.0,,2.0
AL,Birmingham-Jefferson County Transit Authority(MAX),40042,4042,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,90,"396,225","105,565","25,788","72,140","599,718",,"599,718",210.0,49.0,13.0,38.0,310.0,,310.0
AL,"City of Huntsville, Alabama - Public Transportation Division",40071,4071,City,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Full Time,19,"31,048","3,825",37,"2,439","37,349",,"37,349",17.2,2.2,0.1,1.7,21.2,,21.2
