Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Vehicle Operations Hours,Vehicle Operations Hours Questionable,Vehicle Maintenance Hours,Vehicle Maintenance Hours Questionable,Facility Maintenance Hours,Facility Maintenance Hours Questionable,General Administration Hours,General Administration Hours Questionable,Capital Labor Hours,Capital Labor Hours Questionable,Total Hours,Total Hours Questionable,Vehicle Operations Count,Vehicle Operations Count Questionable,Vehicle Maintenance Count,Vehicle Maintenance Count Questionable,Facility Maintenance Count,Facility Maintenance Count Questionable,General Administration Count,General Administration Count Questionable,Capital Labor Count,Capital Labor Count Questionable,Total Employee Count,Total Employee Count Questionable,Vehicle Operations Salary Expenses,Vehicle Operations Salary Expenses Questionable,Vehicle Maintenance Salary Expenses,Vehicle Maintenance Salary Expenses Questionable,Facility Maintenance Salary Expenses,Facility Maintenance Salary Expenses Questionable,General Administration Salary Expenses,General Administration Salary Expenses Questionable,Total Operating Salary Expenses,Total Operating Salary Expenses Questionable,Vehicle Operations Average Hourly Wage,Vehicle Operations Average Hourly Wage Questionable,Vehicle Maintenance Average Hourly Wage,Vehicle Maintenance Average Hourly Wage Questionable,Facility Maintenance Average Hourly Wage,Facility Maintenance Average Hourly Wage Questionable,General Administration Average Hourly Wage,General Administration Average Hourly Wage Questionable,Total Operating Average Hourly Wage,Total Operating Average Hourly Wage Questionable,Any data questionable?,,,,,1
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","11,000",HR,DO,"5,282","21,558,334",,"8,750,961",,"17,800,581",,"4,345,935",,"7,415,253",,"59,871,064",,"10,437.00",,"5,305.00",,"9,829.00",,"2,439.00",,"3,550.00",,"31,560.00",,"$858,629,786 ",,"$319,323,301 ",,"$693,076,711 ",,"$308,437,280 ",,"$2,179,467,078 ",,$39.83 ,,$36.49 ,,$38.94 ,,$70.97 ,,$36.40 ,,No,,,,,Hide questionable data tags
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","11,000",MB,DO,"3,314","19,000,734",,"6,610,928",,"1,490,433",,"1,658,536",,"721,979",,"29,482,610",,"9,403.30",,"3,352.70",,795.7,,924.9,,441.7,,"14,918.30",,"$757,824,579 ",,"$229,689,338 ",,"$54,663,145 ",,"$82,010,962 ",,"$1,124,188,024 ",,$39.88 ,,$34.74 ,,$36.68 ,,$49.45 ,,$38.13 ,,No,,,,,Show questionable data tags
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","11,000",CB,DO,456,"1,693,489",,"589,216",,"132,839",,"147,822",,"64,348",,"2,627,714",,838.1,,298.8,,70.9,,82.4,2,39.4,,"1,329.60",,"$67,543,045 ",,"$20,471,647 ",,"$4,871,992 ",,"$7,309,436 ",,"$100,196,120 ",,$39.88 ,,$34.74 ,,$36.68 ,,$49.45 ,,$38.13 ,,No,,,,,1
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","11,000",RB,DO,108,"342,905",,"119,307",,"26,898",,"29,932",,"13,030",,"532,072",,169.7,,60.5,,14.4,,16.7,,8,,269.3,,"$13,676,418 ",,"$4,145,191 ",,"$986,503 ",,"$1,480,047 ",,"$20,288,159 ",,$39.88 ,,$34.74 ,,$36.68 ,,$49.45 ,,$38.13 ,,No,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","4,020",MB,DO,"1,870","6,362,796",,"2,009,989",,"162,022",,"1,759,548",,"15,052",,"10,309,407",,"3,928.00",,"1,207.00",,86,,"1,051.00",,8,,"6,280.00",,"$201,081,326 ",,"$61,969,621 ",,"$6,191,479 ",,"$36,953,114 ",,"$306,195,540 ",,$31.60 ,,$30.83 ,,$38.21 ,,$21.00 ,,$29.70 ,,No,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","4,020",CR,DO,"1,267","3,994,425",,"2,431,130",,"1,249,914",,"1,014,928",,"622,385",,"9,312,782",,"1,903.00",,"1,337.00",,632,,564,,420,,"4,856.00",,"$154,708,800 ",,"$76,838,835 ",,"$48,932,724 ",,"$36,069,767 ",,"$316,550,126 ",,$38.73 ,,$31.61 ,,$39.15 ,,$35.54 ,,$33.99 ,,No,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","4,020",LR,DO,14,"97,542",,"29,895",,"74,999",,"34,854",,"8,253",,"245,543",,55,,17,,38,,22,,5,,137,,"$4,423,650 ",,"$1,119,754 ",,"$2,221,662 ",,"$896,502 ",,"$8,661,568 ",,$45.35 ,,$37.46 ,,$29.62 ,,$25.72 ,,$35.28 ,,No,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,516",MB,DO,"1,766","8,813,150",,"3,024,129",,"521,133",,"445,459",,0,,"12,803,871",,"3,894.00",,"1,502.00",,271,,237,,0,,"5,904.00",,"$235,689,021 ",,"$88,770,443 ",,"$16,481,067 ",,"$16,752,185 ",,"$357,692,716 ",,$26.74 ,,$29.35 ,,$31.63 ,,$37.61 ,,$27.94 ,,No,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,516",LR,DO,144,"1,218,176",,"541,338",,"483,649",,"193,096",,0,,"2,436,259",,594,,275,,254,,104,,0,,"1,227.00",,"$35,891,235 ",,"$18,441,181 ",,"$14,719,880 ",,"$7,078,452 ",,"$76,130,748 ",,$29.46 ,,$34.07 ,,$30.44 ,,$36.66 ,,$31.25 ,,No,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,516",HR,DO,70,"470,506",,"363,680",,"274,746",,"39,704",,0,,"1,148,636",,223,,186,,144,,21,,0,,574,,"$14,239,842 ",,"$10,357,412 ",,"$8,435,879 ",,"$1,455,464 ",,"$34,488,597 ",,$30.26 ,,$28.48 ,,$30.70 ,,$36.66 ,,$30.03 ,,No,,,,,
