Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Vehicle Operations Hours,Vehicle Operations Hours Questionable,Vehicle Maintenance Hours,Vehicle Maintenance Hours Questionable,Facility Maintenance Hours,Facility Maintenance Hours Questionable,General Administration Hours,General Administration Hours Questionable,Capital Labor Hours,Capital Labor Hours Questionable,Total Hours,Total Hours Questionable,Vehicle Operations Count,Vehicle Operations Count Questionable,Vehicle Maintenance Count,Vehicle Maintenance Count Questionable,Facility Maintenance Count,Facility Maintenance Count Questionable,General Administration Count,General Administration Count Questionable,Capital Labor Count,Capital Labor Count Questionable,Total Employee Count,Total Employee Count Questionable,Vehicle Operations Salary Expenses,Vehicle Operations Salary Expenses Questionable,Vehicle Maintenance Salary Expenses,Vehicle Maintenance Salary Expenses Questionable,Facility Maintenance Salary Expenses,Facility Maintenance Salary Expenses Questionable,General Administration Salary Expenses,General Administration Salary Expenses Questionable,Total Operating Salary Expenses,Total Operating Salary Expenses Questionable,Vehicle Operations Average Hourly Wage,Vehicle Operations Average Hourly Wage Questionable,Vehicle Maintenance Average Hourly Wage,Vehicle Maintenance Average Hourly Wage Questionable,Facility Maintenance Average Hourly Wage,Facility Maintenance Average Hourly Wage Questionable,General Administration Average Hourly Wage,General Administration Average Hourly Wage Questionable,Total Operating Average Hourly Wage,Total Operating Average Hourly Wage Questionable,Any data questionable?
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10936,HR,DO,5342,15364310,,8660339,,24311580,,2112868,,13517542,,63966639,,8303,,4819,,12816,,1363,,5990,,33291,,578035746,,332464147,,898122006,,97528484,,1906150383,,37.622,,38.3893,,58.4551,,46.1593,,29.7991,,No
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10936,CB,DO,453,1771479,,430597,,155402,,81678,,165765,,2604921,,866,,220,,81,,55,,82,,1304,,65840387,,17435118,,5301647,,3638319,,92215471,,37.1669,,40.4906,,2.9928,,44.5447,,35.4005,,No
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10936,MB,DO,3257,20144896,,4894736,,1767207,,928824,,1885045,,29620708,,9853,,2491,,913,,623,,928,,14808,,748723370,,198268588,,60289248,,41374218,,1048655424,,37.1669,,40.5065,,2.9928,,44.5447,,35.4028,,No
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10936,RB,DO,146,794895,,193336,,69732,,36651,,74382,,1168996,,389,,99,,37,,25,,36,,586,,29543764,,7823450,,2378944,,1632579,,41378737,,37.1669,,40.4656,,2.9928,,44.5439,,35.3968,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,MB,DO,1853,6464727,,1981838,,176538,,1809421,,93083,,10525607,,3704,,1166,,93,,1047,,52,,6062,,216260239,,66679646,,6721068,,33016232,,322677185,,33.4523,,33.6454,,1.0397,,18.2468,,30.6564,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,LR,DO,14,75872,,28446,,73669,,37106,,3901,,218994,,41,,16,,41,,25,,2,,125,,3540759,,1248121,,2401919,,1296361,,8487160,,46.6675,,43.8769,,31.6575,,34.9367,,38.7552,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,4013,CR,DO,1184,3976519,,2356377,,1220121,,1001449,,695293,,9249759,,1910,,1292,,620,,562,,466,,4850,,170788654,,83592932,,53239262,,29670114,,337290962,,42.9493,,35.4752,,13.3884,,29.6272,,36.4648,,No
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3505,HR,DO,68,396135,,354960,,302578,,298872,,0,,1352545,,212,,197,,146,,136,,0,,691,,12196727,,10723319,,9854550,,10089919,,42864515,,30.7893,,30.2099,,24.8767,,33.76,,31.6917,,No
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3505,RB,DO,33,168626,,23300,,13636,,28783,,0,,234345,,95,,11,,7,,14,,0,,127,,4376209,,773782,,444815,,1205789,,6800595,,25.9522,,33.2095,,2.6379,,41.8924,,29.0196,,No
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3505,LR,DO,181,1312349,,727372,,447565,,466434,,0,,2953720,,599,,347,,214,,220,,0,,1380,,44322290,,27016549,,16515294,,20473110,,108327243,,33.7732,,37.1427,,12.5845,,43.8928,,36.6749,,No
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3505,MB,DO,1750,8566878,,3067318,,354575,,1391547,,0,,13380318,,4123,,1496,,188,,738,,0,,6545,,238924188,,91763719,,11783078,,55199593,,397670578,,27.8893,,29.9166,,1.3754,,39.6678,,29.7206,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,MB,DO,986,3505585,,929408,,335591,,320032,,118875,,5209491,,2845.29,,596.52,,222.97,,221.99,,88.88,,3975.65,,169837798,,47445364,,15427022,,19588773,,252298957,,48.4478,,51.049,,4.4007,,61.2088,,48.4306,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,SR,DO,8,76643,,16449,,5408,,14016,,1138,,113654,,47.42,,10,,3.63,,10.54,,0.96,,72.55,,3392204,,756329,,435117,,885212,,5468862,,44.2598,,45.9802,,5.6772,,63.1572,,48.1185,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,FB,DO,2,23894,,8036,,188,,11957,,2199,,46274,,26.05,,6.25,,0.11,,6.79,,1.17,,40.37,,936222,,354515,,8816,,575862,,1875415,,39.1823,,44.1159,,0.369,,48.1611,,40.5285,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,VP,DO,1617,0,,0,,793,,56821,,1818,,59432,,0,,0,,0.51,,34.8,,1.05,,36.36,,0,,0,,41672,,3065675,,3107347,,,,,,,,53.9532,,52.2841,,No
King County Department of Transportation,Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,3154,TB,DO,140,499529,,69209,,106862,,49993,,20210,,745803,,405.48,,44.42,,69.98,,34.65,,14.92,,569.45,,24185360,,3540188,,6118165,,3146583,,36990296,,48.4163,,51.1521,,12.2479,,62.9405,,49.5979,,No
