AgencyID,  mode_cd,  service_cd, kwh_propulsion,  kwh_charge_batteries,  gl_diesel_num, gl_gas_num, ec.gl_lpg_num, ec.gl_lng_num, ec.gl_meth_num, gl_eth_num,  gl_cng_num,  gl_bunker_num,  gl_kero_num, gl_grain_num,  other_fuel_num,  gl_biodiesel_num, other_energy_desc,Total
1,LR,DO,"183,920",0,0,0,0,0,0,0,0,0,0,0,0,0,,"183,920"
1,MB,DO,0,0,"10,602,308",0,0,0,0,0,0,0,0,0,0,"138,602",,"10,740,910"
1,TB,DO,"17,048,640",0,0,0,0,0,0,0,0,0,0,0,0,0,,"17,048,640"
1,VP,DO,0,0,0,"647,411",0,0,0,0,0,0,0,0,0,0,,"647,411"
2,DR,DO,0,0,"108,607","51,310",0,0,0,0,0,0,0,0,0,0,,"159,917"
2,MB,DO,0,0,"1,218,639",0,0,0,0,0,0,0,0,0,0,0,,"1,218,639"
2,VP,DO,0,0,0,"41,964",0,0,0,0,0,0,0,0,0,0,,"41,964"
3,DR,DO,0,0,0,"107,884",0,0,0,0,0,0,0,0,0,0,,"107,884"
3,MB,DO,0,0,"1,402","17,990",0,0,0,0,"2,463,361",0,0,0,0,0,,"2,482,753"
3,VP,DO,0,0,0,"292,243",0,0,0,0,0,0,0,0,0,0,,"292,243"
5,DR,DO,0,0,0,"75,534",0,0,0,0,0,0,0,0,0,0,,"75,534"
5,MB,DO,0,0,"274,346",0,0,0,0,0,0,0,0,0,0,0,,"274,346"
6,MB,DO,0,0,"158,757",0,0,0,0,0,0,0,0,0,0,0,,"158,757"
6,VP,DO,0,0,"10,604","7,212",0,0,0,0,0,0,0,0,0,0,,"17,816"
7,MB,DO,0,0,"845,354",0,0,0,0,0,0,0,0,0,0,0,,"845,354"
8,LR,DO,"38,018,606",0,0,0,0,0,0,0,0,0,0,0,0,0,,"38,018,606"
8,MB,DO,0,0,"5,941,030",0,0,0,0,0,0,0,0,0,0,0,,"5,941,030"
11,DR,DO,0,0,"27,143",0,0,0,0,0,0,0,0,0,0,0,,"27,143"
11,MB,DO,0,0,0,0,0,0,0,0,"340,497",0,0,0,0,0,,"340,497"
12,MB,DO,0,0,"582,642",0,0,0,0,0,0,0,0,0,0,0,,"582,642"
16,MB,DO,0,0,"49,381",0,0,0,0,0,0,0,0,0,0,0,,"49,381"
18,DR,DO,0,0,"181,451","134,745",0,0,0,0,0,0,0,0,0,0,,"316,196"
18,MB,DO,0,0,"582,173",0,0,0,0,0,0,0,0,0,0,0,,"582,173"
18,VP,DO,0,0,"83,290","81,986",0,0,0,0,0,0,0,0,0,0,,"165,276"
19,DR,DO,0,0,0,"4,850",0,0,0,0,0,0,0,0,0,"78,648",,"83,498"
19,MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,"460,850",,"460,850"
19,VP,DO,0,0,0,"112,398",0,0,0,0,0,0,0,0,0,0,,"112,398"
20,DR,DO,0,0,"247,949",0,0,0,0,0,0,0,0,0,0,0,,"247,949"
20,MB,DO,0,0,"590,116",0,0,0,0,0,0,0,0,0,0,0,,"590,116"
20,VP,DO,0,0,"66,307","12,023",0,0,0,0,0,0,0,0,0,0,,"78,330"
