AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc,Total
0001,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0001,LR,DO,"545,440 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"545,440 "
0001,MB,DO,             ,             ,"9,581,900 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"647,752 ",                                                                                                    ,"10,229,652 "
0001,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0001,TB,DO,"16,277,945 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"16,277,945 "
0001,VP,DO,             ,             ,             ,"777,412 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"777,412 "
0002,DR,DO,             ,             ,"140,174 ","31,959 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"172,133 "
0002,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0002,MB,DO,             ,             ,"1,284,000 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"1,284,000 "
0002,VP,DO,             ,             ,             ,"75,030 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"75,030 "
0003,DR,DO,             ,             ,             ,"125,137 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"125,137 "
0003,DR,PT,             ,             ,             ,"276,775 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"276,775 "
0003,MB,DO,             ,             ,11 ,"190,824 ",          ,          ,           ,          ,"3,106,347 ",             ,           ,            ,              ,                ,                                                                                                    ,"3,297,182 "
0003,VP,DO,             ,             ,             ,"324,425 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"324,425 "
0005,DR,DO,             ,             ,             ,"103,436 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"103,436 "
0005,MB,DO,             ,             ,"330,325 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"17,385 ",                                                                                                    ,"347,710 "
0006,DR,PT,             ,             ,             ,"63,161 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"63,161 "
0006,MB,DO,             ,             ,"185,730 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"185,730 "
0006,VP,DO,             ,             ,"9,849 ","23,698 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"33,547 "
0007,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0007,MB,DO,             ,             ,"901,280 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"79,364 ",                                                                                                    ,"980,644 "
0007,VP,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0008,DR,PT,             ,             ,             ,"35,656 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,"899,906 ",                                                                                                    ,"935,562 "
0008,LR,DO,"45,798,362 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"45,798,362 "
0008,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"5,944,636 ",                                                                                                    ,"5,944,636 "
0011,DR,DO,             ,             ,"33,055 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"33,055 "
0011,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0011,MB,DO,             ,             ,             ,"10,676 ",          ,          ,           ,          ,"255,527 ",             ,           ,            ,              ,                ,                                                                                                    ,"266,203 "
0011,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0012,DR,PT,             ,             ,             ,"190,407 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"190,407 "
0012,MB,DO,             ,             ,"574,540 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"574,540 "
0016,DR,PT,             ,             ,"9,821 ","12,378 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"22,199 "
0016,MB,DO,             ,             ,"50,081 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"50,081 "
0018,DR,DO,             ,             ,"240,705 ","128,424 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"369,129 "
0018,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0018,MB,DO,             ,             ,"619,588 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"41,985 ",                                                                                                    ,"661,573 "
0018,VP,DO,             ,             ,"127,887 ","207,351 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"335,238 "
0019,DR,DO,             ,             ,             ,"3,504 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,"96,555 ",                                                                                                    ,"100,059 "
0019,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"642,564 ",                                                                                                    ,"642,564 "
0019,VP,DO,             ,             ,             ,"201,680 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"201,680 "
