AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc,Total,,
0001,MB,PT,                ,                ,"30,901","138,981",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,169882,,
0001,LR,DO,"556,000",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,556000,,
0001,VP,DO,                ,                ,                ,"807,203",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,807203,,
0001,DR,PT,                ,                ,"1,109,007","26,466",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1135473,,
0001,MB,DO,                ,                ,"10,424,138",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,10424138,,
0001,TB,DO,"16,917,983",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,16917983,,
0002,VP,DO,                ,                ,                ,"78,226",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,78226,,
0002,DR,DO,                ,                ,"130,608","43,690",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,174298,,
0002,DR,PT,                ,                ,"121,137","54,593",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,175730,,
0002,MB,DO,                ,                ,"1,261,087",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1261087,,
0003,DR,DO,                ,                ,                ,"126,250",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,126250,,
0003,VP,DO,                ,                ,                ,"338,911",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,338911,,
0003,DR,PT,                ,                ,                ,"346,075",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,346075,,
0003,MB,DO,                ,                ,                ,"47,626",                ,                ,                ,                ,"2,421,910",                ,                ,                ,                ,                ,                                                                                                    ,2469536,,
0005,DR,DO,                ,                ,                ,"103,487",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,103487,,
0005,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"371,103",                                                                                                    ,371103,,
0006,VP,DO,                ,                ,"8,523","23,384",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,31907,,
0006,DR,PT,                ,                ,                ,"47,311",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,47311,,
0006,MB,DO,                ,                ,"167,412",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,167412,,
0007,MB,PT,                ,                ,"7,568",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,7568,,
0007,VP,PT,                ,                ,                ,"12,297",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,12297,,
0007,DR,PT,                ,                ,                ,"131,497",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,131497,,
0007,MB,DO,                ,                ,"976,741",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"2,636",                                                                                                    ,979377,,
0008,CR,PT,"43,931",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,43931,,
0008,DR,PT,                ,                ,                ,"35,406",                ,                ,                ,                ,                ,                ,                ,                ,                ,"896,652",                                                                                                    ,932058,,
0008,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"6,048,845",                                                                                                    ,6048845,,
0008,LR,DO,"49,052,515",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,49052515,,
0011,DR,PT,                ,                ,                ,"4,079",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,4079,,
0011,DR,DO,                ,                ,"24,856",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,24856,,
0011,MB,PT,                ,                ,"59,634","33,002",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,92636,,
0011,MB,DO,                ,                ,                ,"12,845",                ,                ,                ,                ,"212,255",                ,                ,                ,                ,                ,                                                                                                    ,225100,,
0012,DR,PT,                ,                ,                ,"182,681",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,182681,,
0012,MB,DO,                ,                ,"575,179",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,575179,,
0016,DR,PT,                ,                ,"10,262","13,279",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,23541,,
0016,MB,DO,                ,                ,"51,909",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,51909,,
0018,DR,PT,                ,                ,"2,021","11,229",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,13250,,
0018,VP,DO,                ,                ,"30,669","300,042",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,330711,,
0018,DR,DO,                ,                ,"103,916","318,148",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,422064,,
0018,MB,DO,                ,                ,"536,335",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,536335,,
0019,DR,DO,                ,                ,                ,"3,541",                ,                ,                ,                ,                ,                ,                ,                ,                ,"100,385",                                                                                                    ,103926,,
0019,VP,DO,                ,                ,                ,"218,416",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,218416,,
0019,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"620,141",                                                                                                    ,620141,,
0020,FB,PT,                ,                ,"42,849",294,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,43143,,
0020,VP,DO,                ,                ,"58,041","20,728",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,78769,,
0020,DR,DO,                ,                ,"179,510",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,179510,,
0020,MB,DO,                ,                ,"539,189",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,539189,,
0021,DR,PT,                ,                ,                ,"3,633",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,3633,,
0021,VP,DO,                ,                ,                ,"38,600",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,38600,,
0021,DR,DO,                ,                ,                ,"133,963",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,133963,,
0021,MB,DO,                ,                ,"429,899",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,429899,,
0022,MB,DO,                ,                ,"48,940","5,484",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,54424,,
0022,DR,DO,                ,                ,"19,370","54,783",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,74153,,
0023,MO,PT,"579,718",                ,0,                ,0,0,                ,                ,                ,                ,                ,                ,0,                ,                                                                                                    ,579718,,
0024,VP,DO,                ,                ,                ,"4,276",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,4276,,
0024,DR,DO,                ,                ,"174,550",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,284,                                                                                                    ,174834,,
0024,MB,DO,                ,                ,"971,997",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"5,068",                                                                                                    ,977065,,
0025,VP,PT,                ,                ,                ,"13,253",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,13253,,
0025,DR,PT,                ,                ,"38,486","118,101",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,156587,,
