AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc
0001,DR,PT,                ,                ,"1,151,078","43,453",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,MB,DO,                ,                ,"10,157,359",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,MB,PT,                ,                ,"25,725","145,876",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,RB,DO,                ,                ,"296,087",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,SR,DO,"517,427",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,TB,DO,"17,010,584",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,VP,DO,                ,"4,166",                ,"815,522",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0002,DR,DO,                ,                ,"121,570","41,398",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0002,DR,PT,                ,                ,"116,435","39,072",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0002,MB,DO,                ,                ,"1,147,204",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0002,VP,DO,                ,                ,                ,"90,215",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0003,DR,DO,                ,                ,                ,"123,964",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0003,DR,PT,                ,                ,                ,"350,771",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0003,MB,DO,                ,                ,"51,436","38,907",                ,                ,                ,                ,"2,346,023",                ,                ,                ,                ,                ,                                                                                                    
0003,VP,DO,                ,                ,                ,"352,040",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0005,DR,DO,                ,                ,                ,"118,052",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0005,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"353,064",                                                                                                    
0006,DR,PT,                ,0,0,"53,861",0,0,0,0,0,0,0,0,0,0,                                                                                                    
0006,MB,DO,                ,0,"189,711",0,0,0,0,0,0,0,0,0,0,0,                                                                                                    
0006,VP,DO,                ,0,"8,674","33,277",0,0,0,0,0,0,0,0,0,0,                                                                                                    
0007,DR,PT,                ,                ,                ,"161,456",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0007,MB,DO,                ,                ,"787,617",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0007,MB,PT,                ,                ,                ,399,                ,                ,                ,                ,                ,                ,                ,                ,                ,"9,704",                                                                                                    
0007,RB,DO,                ,                ,"106,468",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0007,VP,PT,                ,                ,                ,"15,987",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0008,DR,PT,                ,                ,                ,"36,630",                ,                ,                ,                ,                ,                ,                ,                ,                ,"847,885",                                                                                                    
0008,LR,DO,"53,059,621",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
