AgencyID,Agency,SSW,Mode,TOS,Battery Charging,Propulsion power,Diesel fuel,Bio-diesel,Gasoline,Liquefied petroleum gas,Liquefied natural gas,Methanol,Ethanol,Compressed natural gas,Bunker fuel,Kerosene,Hydrogen,Other Fuel,Other Description
1,King County Department of Transportation - Metro Transit Division,N,DR,PT,,,,"768,075","378,770",,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,DO,,,,"10,303,434",,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,MB,PT,,,"33,707",,"161,616",,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,SR,DO,,"539,416",,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,TB,DO,,"16,913,517",,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,VP,DO,"48,933",,,,"877,067",,,,,,,,,,
2,Spokane Transit Authority,N,DR,DO,,,"105,106",,"37,452",,,,,,,,,,
2,Spokane Transit Authority,N,DR,PT,,,"126,089",,"24,413",,,,,,,,,,
2,Spokane Transit Authority,N,MB,DO,,,"1,103,570",,,,,,,,,,,,
2,Spokane Transit Authority,N,VP,DO,,,,,"78,408",,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,DO,,,,,"114,544",,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,DR,PT,,,,,"305,670",,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,N,MB,DO,,,"117,158",,,,,,,"1,338,548",,,,,
3,Pierce County Transportation Benefit Area Authority,N,VP,DO,,,,,"361,907",,,,,,,,,,
5,Everett Transit,N,DR,DO,,,"9,853",,"104,333",,,,,,,,,,
5,Everett Transit,N,MB,DO,,,"318,119",,,,,,,,,,,,
6,Yakima Transit,N,DR,PT,0,,"3,318",0,"49,856",0,0,0,0,0,0,0,0,0,
6,Yakima Transit,N,MB,DO,0,,"183,472",0,0,0,0,0,0,0,0,0,0,0,
6,Yakima Transit,N,VP,DO,0,,"1,303",0,"31,884",0,0,0,0,0,0,0,0,0,
7,Lane Transit District,N,DR,PT,,,,,"173,314",,,,,,,,,,
7,Lane Transit District,N,MB,DO,,,"675,653",,,,,,,,,,,,
7,Lane Transit District,N,MB,PT,,,,"9,599",270,,,,,,,,,,
7,Lane Transit District,N,RB,DO,,,"147,189",,,,,,,,,,,,
7,Lane Transit District,N,VP,PT,,,,,"15,874",,,,,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,N,DR,PT,,,,"766,903","40,113",,,,,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,N,LR,DO,,"52,404,654",,,,,,,,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,N,MB,DO,,,,"5,329,697",,,,,,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,N,YR,PT,,,,"113,814",,,,,,,,,,,
11,Valley Regional Transit,N,DR,DO,,,"4,720",,"2,745",,,,,"28,119",,,,,
11,Valley Regional Transit,N,MB,DO,,,"30,303",,"19,438",,,,,"444,558",,,,,
12,Municipality of Anchorage - Public Transportation Department,N,DR,PT,,,,,"172,050",,,,,,,,,,
12,Municipality of Anchorage - Public Transportation Department,N,MB,DO,,,"545,824",,,,,,,,,,,,
16,RiverCities Transit,N,DR,PT,0,,"4,832","3,487","24,238",0,0,0,0,0,0,0,0,0,
16,RiverCities Transit,N,MB,DO,0,,"28,284","37,182",0,0,0,0,0,0,0,0,0,0,
18,Ben Franklin Transit,N,DR,DO,,,"5,378",,"303,232",,,,,,,,,,
18,Ben Franklin Transit,N,DR,PT,,,"5,278",,"31,145",,,,,,,,,,
18,Ben Franklin Transit,N,MB,DO,"12,168",,"471,470",,,,,,,,,,,,
18,Ben Franklin Transit,N,VP,DO,,,"3,817",,"291,229",,,,,,,,,,
19,Intercity Transit,N,CB,DO,,,,"92,495",,,,,,,,,,,
19,Intercity Transit,N,DR,DO,,,,"93,706",196,,,,,,,,,,
19,Intercity Transit,N,MB,DO,,,,"515,516",,,,,,,,,,,
19,Intercity Transit,N,VP,DO,,,,,"235,527",,,,,,,,,,
20,Kitsap Transit,N,DR,DO,,,"143,466",,,,,,,,,,,,
20,Kitsap Transit,N,FB,PT,,,"42,650",,"7,980",,,,,,,,,,
20,Kitsap Transit,N,MB,DO,,,"444,498",,,,,,,,,,,,
20,Kitsap Transit,N,VP,DO,,,"7,612",,"52,684",,,,,,,,,,
21,Whatcom Transportation Authority,N,DR,DO,,,,,"133,896",,,,,,,,,,
21,Whatcom Transportation Authority,N,MB,DO,,,"377,007",,,,,,,,,,,,
21,Whatcom Transportation Authority,N,VP,DO,,,,,"38,378",,,,,,,,,,
23,City of Seattle - Seattle Center Monorail Transit,N,MG,PT,,"624,160",,,,,,,,,,,,,
24,Clark County Public Transportation Benefit Area Authority,N,CB,DO,,,"159,681",,,,,,,,,,,,
24,Clark County Public Transportation Benefit Area Authority,N,DR,DO,,,"159,504",,"8,881",,,,,,,,,,
24,Clark County Public Transportation Benefit Area Authority,N,MB,DO,,,"772,836",,"6,722",,,,,,,,,,
24,Clark County Public Transportation Benefit Area Authority,N,VP,DO,,,,,"22,048",,,,,,,,,,
25,Salem Area Mass Transit District,N,DR,PT,,,,,,,,,,,,,,,
25,Salem Area Mass Transit District,N,MB,DO,,,"221,610",,"6,046",,,,,"337,046",,,,,
25,Salem Area Mass Transit District,N,VP,PT,,,,,"25,072",,,,,,,,,,
28,Pierce County Ferry Operations,N,FB,PT,,,"167,751",,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,N,CB,DO,,,"370,256",,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,N,CB,PT,,,"445,308",,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,N,DR,PT,,,"112,322",,"100,230",,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,N,MB,DO,,,"1,172,478",,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,N,VP,DO,,,,,"279,291",,,,,,,,,,
34,Rogue Valley Transportation District,N,DR,PT,,,,,"45,510",,,,,,,,,,
34,Rogue Valley Transportation District,N,MB,DO,,,"44,419",,,,,,,"278,839",,,,,
35,Washington State Ferries,N,FB,DO,,,"16,615,802","582,424",,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,N,CB,DO,,,"2,373,473",,,,,,,"174,554",,,,,
40,Central Puget Sound Regional Transit Authority,N,CB,PT,,,"805,886",,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,N,CR,PT,,,"1,193,706",,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,N,LR,DO,,"16,576,246",,,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,N,SR,DO,,"419,130",,,,,,,,,,,,,
41,Alaska Railroad Corporation,N,AR,DO,,,"795,094",,,,,,,,,,,,
43,Link Transit,N,DR,DO,,,423,,"18,363",,,,,,,,,,
43,Link Transit,N,DR,PT,,,,,795,,,,,,,,,,
43,Link Transit,N,MB,DO,,,"240,499",,"26,392",,,,,,,,,,
44,Skagit Transit,N,CB,DO,,,"51,820",,,,,,,,,,,,
44,Skagit Transit,N,DR,DO,,,"36,611",,,,,,,,,,,,
44,Skagit Transit,N,MB,DO,,,"144,180",,,,,,,,,,,,
44,Skagit Transit,N,VP,DO,,,,,"63,508",,,,,,,,,,
47,City of Corvallis,N,MB,PT,,,,"94,951",,,,,,,,,,,
49,"vRide, Inc. - Anchorage",N,VP,DO,,,,,"121,657",,,,,,,,,,
54,King County Ferry District,N,FB,DO,,,"163,868",,,,,,,,,,,,
57,Central Oregon Intergovernmental Council,N,CB,DO,0,,"33,671",0,"5,484",0,0,0,0,0,0,0,0,0,
57,Central Oregon Intergovernmental Council,N,DR,DO,0,,0,0,"43,406",0,0,0,0,0,0,0,0,0,
57,Central Oregon Intergovernmental Council,N,DR,PT,0,,0,0,"28,097",0,0,0,0,0,0,0,0,0,
57,Central Oregon Intergovernmental Council,N,MB,PT,0,,"30,093",0,"5,873",0,0,0,0,0,0,0,0,0,
58,City of Portland,N,SR,PT,,"1,843,653",,,,,,,,,,,,,
58,City of Portland,N,TR,PT,,,"392,000",372,,,,,,,,,,,
1001,Rhode Island Public Transit Authority,N,DR,DO,,,"363,225",,,,,,,,,,,,
1001,Rhode Island Public Transit Authority,N,DR,PT,,,"74,952",,"63,090",,,,,,,,,,
1001,Rhode Island Public Transit Authority,N,MB,DO,,,"2,058,275",,,,,,,,,,,,
1003,Massachusetts Bay Transportation Authority,N,CR,PT,,,"13,439,197",,,,,,,,,,,,
1003,Massachusetts Bay Transportation Authority,N,DR,PT,,,,,"2,084,280",,,,,,,,,,
1003,Massachusetts Bay Transportation Authority,N,FB,PT,,,"1,049,356",,,,,,,,,,,,
1003,Massachusetts Bay Transportation Authority,N,HR,DO,,"205,865,140",,,,,,,,,,,,,
1003,Massachusetts Bay Transportation Authority,N,LR,DO,,"47,597,920",,,,,,,,,,,,,
1003,Massachusetts Bay Transportation Authority,N,MB,DO,,,"5,566,101",,,,,,,"3,927,019",,,,,
1003,Massachusetts Bay Transportation Authority,N,MB,PT,,,"69,088",,"62,048",,,,,,,,,,
1003,Massachusetts Bay Transportation Authority,N,TB,DO,,"5,447,339",,,,,,,,,,,,,
1004,Brockton Area Transit Authority,N,DR,PT,,,"82,899",,,,,,,,,,,,
1004,Brockton Area Transit Authority,N,MB,PT,,,"297,727",,,,,,,,,,,,
1005,Lowell Regional Transit Authority,N,DR,DO,,,"3,356",,"20,027",,,,,,,,,,
1005,Lowell Regional Transit Authority,N,DR,PT,,,"4,992",,"39,193",,,,,,,,,,
1005,Lowell Regional Transit Authority,N,MB,PT,,,"201,171",,"42,710",,,,,"30,718",,,,,
1006,Southeastern Regional Transit Authority,N,DR,PT,,,"48,067",,,,,,,,,,,,
1006,Southeastern Regional Transit Authority,N,MB,PT,,,"323,843",,,,,,,,,,,,
1007,Berkshire Regional Transit Authority,N,DR,PT,,,,,"34,324",,,,,,,,,,
1007,Berkshire Regional Transit Authority,N,MB,PT,,,"111,151",,"24,725",,,,,,,,,,
