5 digit NTDID,AgencyID,Reporter Name,Reporter Type,Mode,TOS,Bio Diesel,Bunker Fuel,C Nat Gas,Cooking Oil,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquefied Nat Gas,Liquefied Petroleum Gas,Other Fuel,Other Energy Desc
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DR,PT,0,,,,"559,928",,,,"508,393",,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,DO,0,,,,"10,159,113",,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,PT,0,,,,"30,812",,,,"163,131",,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,SR,DO,,,,,,,"529,593",,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,TB,DO,,,,,,,"16,566,477",,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,VP,DO,,,,,,"54,530",,,"909,777",,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,DO,0,,,,"113,200",,,,"31,119",,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,PT,0,,,,"128,875",,,,"21,121",,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,MB,DO,0,,,,"1,108,898",,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,VP,DO,,,,,,,,,"80,464",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,,,,,,,,,"115,247",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,PT,,,,,,,,,"315,294",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,"164,364",,"1,300,580",,0,,,,"25,424",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,,,,,,,,,"353,986",,,,,,
5,5,Everett Transit,Full Reporter: Operating,DR,DO,0,,,,"18,443",,,,"93,854",,,,,,
5,5,Everett Transit,Full Reporter: Operating,MB,DO,0,,,,"308,346",,,,,,,,,,
6,6,Yakima Transit,Full Reporter: Operating,DR,PT,0,,,,"3,343",,,,"42,294",,,,,,
6,6,Yakima Transit,Full Reporter: Operating,MB,DO,0,,,,"164,542",,,,,,,,,,
6,6,Yakima Transit,Full Reporter: Operating,VP,DO,0,,,,"1,234",,,,"25,097",,,,,,
7,7,Lane Transit District,Full Reporter: Operating,DR,PT,,,,,,,,,"181,170",,,,,,
7,7,Lane Transit District,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
7,7,Lane Transit District,Full Reporter: Operating,MB,DO,0,,,,"687,716",,,,,,,,,,
7,7,Lane Transit District,Full Reporter: Operating,MB,PT,"9,618",,,,0,,,,530,,,,,,
7,7,Lane Transit District,Full Reporter: Operating,RB,DO,,,,,"145,482",,,,,,,,,,
7,7,Lane Transit District,Full Reporter: Operating,VP,PT,,,,,,,,,"21,521",,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,DR,PT,"757,553",,,,,,,,"38,147",,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,DT,PT,,,,,,,,,0,,,,,,
