5 Digit NTD ID,AgencyID,Agency Name,Reporter Type,Form Module Type,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Cooking Oil,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DR,PT,0,,,,"448,802",,,,"572,421",,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,DO,0,,,,"9,991,220",,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,PT,0,,,,"25,823",,,,"159,415",,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,SR,DO,,,,,,,"491,047",,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,TB,DO,,,,,,,"16,475,282",,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,VP,DO,,,,,,"55,694",,,"906,419",,,,,,
2,2,Spokane Transit Authority,Full Reporter,Full Reporter,DR,DO,0,,,,"107,641",,,,"32,727",,,,,,
2,2,Spokane Transit Authority,Full Reporter,Full Reporter,DR,PT,0,,,,"132,492",,,,"29,934",,,,,,
2,2,Spokane Transit Authority,Full Reporter,Full Reporter,MB,DO,0,,,,"1,116,968",,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter,Full Reporter,VP,DO,,,,,,,,,"73,205",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Full Reporter,DR,DO,,,"26,469",,,,,,"84,966",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Full Reporter,DR,PT,,,,,,,,,"321,631",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Full Reporter,MB,DO,"171,464",,"1,214,583",,"25,926",,,,"22,825",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Full Reporter,VP,DO,,,,,,,,,"341,742",,,,,,
5,5,Everett Transit,Full Reporter,Full Reporter,DR,DO,0,,,,"20,391",,,,"97,299",,,,,,
