NTD ID,AgencyID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Cooking Oil,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,0,,,,"394,740",,,,"434,053",,,,"354,133",,
1,1,King County Department of Transportation,Full Reporter,Urban,FB,DO,"191,656",,,,"27,009",,,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,MB,DO,0,,,,"11,291,210","268,318",,,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,MB,PT,0,,,,"31,018",,,,"134,518",,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,SR,DO,,,,,,,"2,203,298",,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,TB,DO,,,,,,,"16,731,727",,,,,,,,
1,1,King County Department of Transportation,Full Reporter,Urban,VP,DO,,,,,,"43,149",,,"918,055",,,,,,
2,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,0,,,,"124,317",,,,"16,384",,,"3,135",,,
2,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"151,320",,,,"19,556",,,,,,
2,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,0,,,,"1,150,359",,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,,,,,,,,,"64,518",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,,,"33,755",,,,,,"75,898",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"287,685",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,"1,355,315",,"195,972",,,,"20,255",,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,"338,241",,,,,,
5,5,Everett Transit,Full Reporter,Urban,DR,DO,0,,,,"17,062",,,,"89,799",,,,,,
5,5,Everett Transit,Full Reporter,Urban,MB,DO,0,,,,"316,401",,,,,,,,,,
6,6,Yakima Transit,Full Reporter,Urban,CB,PT,0,,,,"17,901",,,,"5,248",,,,,,
6,6,Yakima Transit,Full Reporter,Urban,DR,PT,,,,,,,,,"40,942",,,,,,
6,6,Yakima Transit,Full Reporter,Urban,MB,DO,0,,,,"166,646",,,,,,,,,,
6,6,Yakima Transit,Full Reporter,Urban,VP,DO,,,,,,,,,"19,257",,,,,,
7,7,Lane Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,"166,224",,,,,,
7,7,Lane Transit District,Full Reporter,Urban,MB,DO,0,,,,"744,116",,,,,,,,,,
7,7,Lane Transit District,Full Reporter,Urban,MB,PT,0,,,,"11,529",,,,899,,,,,,
7,7,Lane Transit District,Full Reporter,Urban,RB,DO,0,,,,"142,696",,,,,,,,,,
7,7,Lane Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,"23,552",,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,"671,599",,,,0,,,,"35,984",,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,,,,,,,"55,016,281",,,,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,"5,380,816",,,,0,,,,,,,,,,
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,"111,886",,,,0,,,,,,,,,,
11,11,Valley Regional Transit,Full Reporter,Urban,DR,DO,0,,"67,325",,"10,538",,,,"11,017",,,,,,
11,11,Valley Regional Transit,Full Reporter,Urban,MB,DO,0,,"8,734",,"3,299",,,,"405,742",,,,,,
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,DR,PT,,,,,,,,,"145,702",,,,,,
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,MB,DO,"522,326",,,,0,,,,,,,,,,
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,MB,PT,,,,,,,,,"12,625",,,,,,
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,VP,PT,,,,,,,,,"73,538",,,,,,
16,16,RiverCities Transit,Full Reporter,Urban,DR,PT,"4,119",,,,0,,,,"33,016",,,,,,
16,16,RiverCities Transit,Full Reporter,Urban,MB,DO,"77,957",,,,0,,,,,,,,,,
16,16,RiverCities Transit,Full Reporter,Urban,VP,DO,,,,,,,,,146,,,,,,
18,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,0,,,,"2,269",,,,"310,857",,,,,,
18,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,0,,,,83,,,,"34,876",,,,,,
18,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,0,,,,"474,867","20,057",,,,,,,,,
18,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,,,,,,,,,"240,987",,,,,,
19,19,Intercity Transit,Full Reporter,Urban,CB,DO,"120,942",,,,0,,,,,,,,,,
19,19,Intercity Transit,Full Reporter,Urban,DR,DO,"107,733",,,,0,,,,32,,,,,,
19,19,Intercity Transit,Full Reporter,Urban,MB,DO,"604,709",,,,0,,,,,,,,,,
19,19,Intercity Transit,Full Reporter,Urban,VP,DO,,,,,,,,,"188,805",,,,,,
20,20,Kitsap Transit,Full Reporter,Urban,DR,DO,0,,,,"91,027",,,,"1,437",,,,"104,304",,
20,20,Kitsap Transit,Full Reporter,Urban,FB,DO,0,,,,"84,111",,,,,,,,,,
20,20,Kitsap Transit,Full Reporter,Urban,FB,PT,0,,,,"48,527",,,,0,,,,,,
20,20,Kitsap Transit,Full Reporter,Urban,MB,DO,0,,,,"493,124",,,,,,,,"1,504",,
20,20,Kitsap Transit,Full Reporter,Urban,VP,DO,0,,,,"4,335",,,,"53,970",,,,,,
21,21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,"146,606",,,,,,
21,21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,0,,,,"427,091",,,,,,,,,,
21,21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,,,,,,,,,"25,939",,,,,,
23,23,City of Seattle - Seattle Center Monorail Transit,Full Reporter,Urban,MG,PT,,,,,,,"639,351",,,,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,CB,DO,0,,,,"150,766",,,,,,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,0,,,,"185,788",,,,"17,447",,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,,,"754,684",,,,"8,418",,,,,,
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,"17,450",,,,,,
25,25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,0,,,,"45,609",,,,"419,145",,,,,,
25,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,"250,846",,"339,987",,"7,136",,,,,,,,,,
25,25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,"29,677",,,,,,
28,28,Pierce County Ferry Operations,Full Reporter,Urban,FB,PT,0,,,,"181,951",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,"4,847",,,,"370,807",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,0,,,,"506,577",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,,,,,,,,,"229,891",,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,"18,332",,,,"1,413,382",,,,,,,,,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,,,,,,,,,"253,217",,,,,,
34,34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,,,,,,,,,"42,262",,,,,,
34,34,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,"42,262",,"121,531",,0,,,,,,,,,,
35,35,Washington State Ferries,Full Reporter,Urban,FB,DO,"857,959",,,,"17,895,000",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,0,,"866,756",,"1,688,962",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,,"808,466",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,0,,,,"1,318,959",,,,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,,,,,,,"25,532,556",,,,,,,,
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,,,,,,,"405,511",,,,,,,,
41,41,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,0,,,,"806,496",,,,,,,,,,
43,43,Link Transit,Full Reporter,Urban,DR,DO,,,,,,,,,"6,796",,,,"24,472",,
43,43,Link Transit,Full Reporter,Urban,DR,PT,,,,,,,,,601,,,,,,
43,43,Link Transit,Full Reporter,Urban,MB,DO,0,,,,"230,334","166,005",,,"9,221",,,,"59,059",,
44,44,Skagit Transit,Full Reporter,Urban,CB,DO,0,,,,"56,957",,,,,,,,,,
44,44,Skagit Transit,Full Reporter,Urban,DR,DO,0,,,,"32,542",,,,,,,,"16,116",,
44,44,Skagit Transit,Full Reporter,Urban,MB,DO,0,,,,"160,164",,,,,,,,,,
44,44,Skagit Transit,Full Reporter,Urban,VP,DO,,,,,,,,,"57,197",,,,,,
46,46,South Metro Area Regional Transit,Full Reporter,Urban,DR,DO,0,,"1,958",,"1,137",,,,"9,045",,,,,,
46,46,South Metro Area Regional Transit,Full Reporter,Urban,MB,DO,0,,"6,553",,"50,321",,,,"30,282",,,,,,
47,47,City of Corvallis,Full Reporter,Urban,MB,PT,"103,482",,,,0,,,,,,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,0,,,,"33,310",,,,"5,425",,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,,,,,,,,,"25,661",,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,,,,,,,,,"28,151",,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,,,,,,,,,"3,288",,,,,,
57,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,0,,,,"50,311",,,,,,,,,,
58,58,City of Portland,Full Reporter,Urban,SR,PT,,,,,,,"2,641,039",,,,,,,,
58,58,City of Portland,Full Reporter,Urban,TR,PT,,,,,,,"384,800",,,,,,,,
376,0R02-022,"Ride Connection, Inc.",Full Reporter,Urban,DR,DO,,,,,,,,,"40,708",,,,,,
376,0R02-022,"Ride Connection, Inc.",Full Reporter,Urban,MB,DO,,,,,,,,,"31,669",,,,,,
415,,Ada County Highway District Commuteride,Full Reporter,Urban,VP,DO,,,,,,,,,"105,957",,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Urban,DR,DO,0,,,,"326,017",,,,,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Urban,MB,DO,0,,,,"1,991,289",,,,,,,,,,
10001,1001,Rhode Island Public Transit Authority,Full Reporter,Urban,VP,PT,,,,,,,,,"1,131",,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,CR,PT,0,,,,"12,651,108",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"1,965,479",,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,FB,PT,0,,,,"1,007,221",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,HR,DO,,,,,,,"191,095,148",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,,"51,239,473",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,DO,0,,"3,189,466",,"5,380,946",,,,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,PT,0,,,,"82,603",,,,"22,412",,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,RB,DO,0,,,,"140,162",,"8,695,719",,,,,,,,
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,TB,DO,,,,,,,"3,402,886",,,,,,,,
10004,1004,Brockton Area Transit Authority,Full Reporter,Urban,DR,PT,0,,,,"9,612",,,,"89,716",,,,,,
10004,1004,Brockton Area Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"321,458",,,,,,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,DO,0,,,,"1,390",,,,"26,035",,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"59,409",,,,,,
10005,1005,Lowell Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"256,148",,,,"35,968",,,,,,
10006,1006,Southeastern Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"76,735",,,,,,
10006,1006,Southeastern Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"374,523",,,,,,,,,,
10007,1007,Berkshire Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"38,751",,,,,,
10007,1007,Berkshire Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"67,803",,,,"76,893",,,,,,
10008,1008,Pioneer Valley Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"418,794",,,,,,
10008,1008,Pioneer Valley Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"1,247,134","66,480",,,"20,234",,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,,"41,621",,,,,,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"87,562",,,,,,
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,,"377,322",,,,,,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,"34,957",,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,"86,155",,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter,Urban,MB,DO,0,,,,"383,705","395,520",,,"17,411",,,,,,
10014,1014,Worcester Regional Transit Authority,Full Reporter,Urban,MB,PT,,,,,,,,,864,,,,,,
10016,1016,Greater Portland Transit District,Full Reporter,Urban,MB,DO,0,,"175,773",,"115,371",,,,,,,,,,
10017,1017,Greater Hartford Transit District,Full Reporter,Urban,DR,PT,0,,"133,587",,"216,649",,,,"249,276",,,,,,
