Trs_Id,Agency_Type_Desc,Institution_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Non_Uza_Served_Fl,Veh_Operated_Comment,Institutional_Structure_Desc,other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,operate_fgw_mbdo_fl,operate_fgw_mbpt_fl,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0001,2. Public agency or authority that contracts for some or all transit service (not a State DOT),5. Unit of County Government,,12,31,2007,King County Department of Transportation - Metro Transit Division,201 South Jackson Street,M.S. KSC-TR-0333,Seattle,WA,98104,3856,transit.metrokc.gov/,1731,King County Metro,2134,1861300,N,,,,,,,,Y,Y,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0002,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,12,31,2007,Spokane Transit Authority,1230 West Boone Avenue,,Spokane,WA,99201,,spokanetransit.com,1733,STA,142,334857,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0003,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2007,Pierce County Transportation Benefit Area Authority,"3701 96th Street, S.W.",,Tacoma,WA,98499,70,www.piercetransit.org,1730,Pierce Transit,414,732435,N,N,,,,99070,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0005,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2007,Everett Transit,3225 Cedar Street,,Everett,WA,98201,,www.everettwa.org/transit/,1743,ET,30,101100,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
0006,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2007,Yakima Transit,2301 Fruitvale Boulevard,,Yakima,WA,98902,1298,www.yakimatransit.org,1750,YT,26,82867,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0007,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Lane Transit District,3500 East 17th Avenue,,Eugene,OR,97403,,www.ltd.org,1738,LTD,241,272272,N,N,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0008,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2007,Tri-County Metropolitan Transportation District of Oregon,4012 Southeast 17th Avenue,,Portland,OR,97202,3940,www.trimet.org,1728,TriMet,574,1253502,N,N,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0011,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,9,30,2007,Valley Regional Transit,830 North Main Street,Suite 230,Meridian,ID,83642,,www.valleyregionaltransit.org,1736,VRT,66,272625,N,,,,,,,,Y,N,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0012,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2007,Municipality of Anchorage - Public Transportation Department,"3650 A East Tudor Road, Building A",,Anchorage,AK,99519,6650,www.peoplemover.org,1707,People Mover,77,218145,N,N,,,,196650,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0016,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2007,Community Urban Bus Service,254 Oregon Way,,Longview,WA,98632,,www.cubs-bus.com,1747,CUBS,21,46210,N,,,,,128,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0018,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2007,Ben Franklin Transit,1000 Columbia Park Trail,,Richland,WA,99352,,www.bft.org,1742,BFT,80,150000,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0019,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2007,Intercity Transit,526 Southeast Pattison Street,,Olympia,WA,98507,659,www.intercitytransit.com,1745,I.T.,94,146500,N,N,,,,659,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0020,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,12,31,2007,Kitsap Transit,60 Washington Ave. Suite 200,,Bremerton,WA,98337,,kitsaptransit.org,1746,,396,237000,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0021,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2007,Whatcom Transportation Authority,4111 Bakerview Spur Road,,Bellingham,WA,98226,8056,www.ridewta.com,5092,WTA,776,188015,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0022,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,9,30,2007,City of Pocatello - Pocatello Regional Transit,911 North Seventh,,Pocatello,ID,83205,4169,www.pocatellotransit.com,1737,PRT,27,61166,N,,,,,4169,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0023,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2007,City of Seattle - Seattle Center Monorail Transit,305 Harrison Street,,Seattle,WA,98109,4695,www.seattlemonorail.com,,,83,495500,N,,,,,,,,Y,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0024,1. Public agency or authority that directly operates all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2007,Clark County Public Transportation Benefit Area Authority,,,Vancouver,WA,98668,2529,www.c-tran.com,1729,C-Tran,133,351792,N,,,,,2529,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0025,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,6,30,2007,Salem Area Mass Transit District,"555 Court Street, N.E.",Suite 5230,Salem,OR,97301,3736,cherriots.org,1740,Cherriots,65,206500,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
