Trs_Id,Agency_Type_Desc,Institution_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Veh_Operated_Comment,Institutional_Structure_Desc,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number
0001,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,12,31,2009,King County Department of Transportation - Metro Transit Division                                   ,201 South Jackson Street                                                                            ,M.S. KSC-TR-0333                                                                                    ,Seattle                            ,WA                  ,98104,3856,http://metro.kingcounty.gov/                                                                        ,1731,King County Metro        ,"2,134","1,884,200",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,Y,805622313
0002,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,1. Independent Agency with an elected Board of Directors                                            ,                                                                                                                                                                                                        ,12,31,2009,Spokane Transit Authority                                                                           ,1230 West Boone Avenue                                                                              ,                                                                                                    ,Spokane                            ,WA                  ,99201,    ,spokanetransit.com                                                                                  ,1733,STA                      ,248,"394,120",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,060044575
0003,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,12,31,2009,Pierce County Transportation Benefit Area Authority                                                 ,"3701 96th Street, S.W.                                                                              ",                                                                                                    ,Tacoma                             ,WA                  ,98499,0070,www.piercetransit.org                                                                               ,1730,Pierce Transit           ,414,"754,655",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,99070     ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,017850363
0005,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,12,31,2009,Everett Transit                                                                                     ,3225 Cedar Street                                                                                   ,                                                                                                    ,Everett                            ,WA                  ,98201,    ,www.everettwa.org/transit/                                                                          ,1743,ET                       ,34,"103,500",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,155780190
0006,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,12,31,2009,Yakima Transit                                                                                      ,2301 Fruitvale Boulevard                                                                            ,                                                                                                    ,Yakima                             ,WA                  ,98902,1298,www.yakimatransit.org                                                                               ,1750,YT                       ,28,"92,035",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,078212651
0007,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Lane Transit District                                                                               ,3500 East 17th Avenue                                                                               ,                                                                                                    ,Eugene                             ,OR                  ,97403,    ,www.ltd.org                                                                                         ,1738,LTD                      ,241,"291,600",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,060588639
0008,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Tri-County Metropolitan Transportation District of Oregon                                           ,4012 Southeast 17th Avenue                                                                          ,                                                                                                    ,Portland                           ,OR                  ,97202,3940,www.trimet.org                                                                                      ,1728,TriMet                   ,575,"1,488,169",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,007909096
0011,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,9,30,2009,Valley Regional Transit                                                                             ,830 North Main Street                                                                               ,Suite 230                                                                                           ,Meridian                           ,ID                  ,83642,    ,www.valleyregionaltransit.org                                                                       ,1736,VRT                      ,66,"272,625",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,139758973
0012,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,12,31,2009,Municipality of Anchorage - Public Transportation Department                                        ,"3650 A East Tudor Road, Building A                                                                  ",                                                                                                    ,Anchorage                          ,AK                  ,99519,6650,www.peoplemover.org                                                                                 ,1707,People Mover             ,77,"218,145",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,196650    ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,076667013
0016,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,12,31,2009,Community Urban Bus Service                                                                         ,254 Oregon Way                                                                                      ,                                                                                                    ,Longview                           ,WA                  ,98632,    ,www.cubs-bus.com                                                                                    ,1747,CUBS                     ,21,"46,210",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,128       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,612643619
