Trs_Id,Agency_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Veh_Operated_Comment,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number,Small_Systems_Waiver_Fl,Operate_FGW_CBDO_Fl,Operate_FGW_CBPT_Fl
0001,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,King County Department of Transportation - Metro Transit Division                                   ,201 South Jackson Street                                                                            ,M.S. KSC-TR-0333                                                                                    ,Seattle                            ,WA                  ,98104,3856,http://metro.kingcounty.gov/                                                                        ,1731,King County Metro        ,"2,134","1,942,600",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,Y,805622313,N,N,N
0002,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Spokane Transit Authority                                                                           ,1230 West Boone Avenue                                                                              ,                                                                                                    ,Spokane                            ,WA                  ,99201,    ,spokanetransit.com                                                                                  ,1733,STA                      ,248,"394,120",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,060044575,N,N,N
0003,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Pierce County Transportation Benefit Area Authority                                                 ,"3701 96th Street, S.W.                                                                              ",                                                                                                    ,Tacoma                             ,WA                  ,98496,0070,www.piercetransit.org                                                                               ,1730,Pierce Transit           ,414,"747,861",                                                                                                                                                                                                        ,                                                                                                    ,99070     ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,017850363,N,N,N
0005,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Everett Transit                                                                                     ,3225 Cedar Street                                                                                   ,                                                                                                    ,Everett                            ,WA                  ,98201,    ,www.everettwa.org/transit/                                                                          ,1743,ET                       ,34,"105,000",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,155780190,N,N,N
0006,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Yakima Transit                                                                                      ,2301 Fruitvale Boulevard                                                                            ,                                                                                                    ,Yakima                             ,WA                  ,98902,1298,www.yakimatransit.org                                                                               ,1750,YT                       ,28,"92,035",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,078212651,N,N,N
0007,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Lane Transit District                                                                               ,3500 East 17th Avenue                                                                               ,                                                                                                    ,Eugene                             ,OR                  ,97403,    ,www.ltd.org                                                                                         ,1738,LTD                      ,241,"293,800",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,060588639,N,N,N
0008,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2011,Tri-County Metropolitan Transportation District of Oregon                                           ,4012 Southeast 17th Avenue                                                                          ,                                                                                                    ,Portland                           ,OR                  ,97202,3940,www.trimet.org                                                                                      ,1728,TriMet                   ,570,"1,489,796",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y, ,007909096,N,N,N
0011,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2011,Valley Regional Transit                                                                             ,700 N East 2nd St.                                                                                  ,Suite 100                                                                                           ,Meridian                           ,ID                  ,83642,    ,www.valleyregionaltransit.org                                                                       ,1736,VRT                      ,66,"349,684",                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,139758973,N,N,N
0012,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,Municipality of Anchorage - Public Transportation Department                                        ,"3600 Dr Martin Luther King, Jr Avenue                                                               ",                                                                                                    ,Anchorage                          ,AK                  ,99519,6650,www.peoplemover.org                                                                                 ,1707,People Mover             ,77,"218,145",                                                                                                                                                                                                        ,                                                                                                    ,196650    ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,076667013,N,N,N
0016,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2011,RiverCities Transit                                                                                 ,254 Oregon Way                                                                                      ,                                                                                                    ,Longview                           ,WA                  ,98632,    ,www.rctransit.org                                                                                   ,1747,RCT                      ,31,"61,598",                                                                                                                                                                                                        ,                                                                                                    ,128       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N, ,612643619,N,N,N
