NTDID,Agency,Abbr,Active,Agency Type,Organization Type,Organization Type Desc,Institutional Structure Desc,Fiscal Year End,NTD Report Due Date,Address,Address Line 2,City,State,Zip,Zip4,P.O. Box,Region,Website,FTA Recipient ID,DUNS Number,Service Area (SQ Mi),Service Area Population,UZA,UZA Name,UZA Population,UZA Density,UZA SQ Mi,SSW,Required to Report,Operates FG/HI MB/DO,Operates FG/HI MB/PT,Operates FG/HI CB/DO,Operates FG/HI CB/PT,Directly Operated Vehicles,Purchased Transportation Vehicles,Total Vehicles of Maximum Service
1,King County Department of Transportation - Metro Transit Division,King County Metro,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,201 South Jackson Street,M.S. KSC-TR-0333,Seattle,WA,98104,3856,,10,http://metro.kingcounty.gov/,1731,805622313,"2,134","2,044,449",14,"Seattle, WA","3,059,393","3,028","1,010",N,Y,Y,Y,N,N,"2,427",401,"2,828"
2,Spokane Transit Authority,STA,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,1230 West Boone Avenue,,Spokane,WA,99201,,,10,www.spokanetransit.com,1733,60044575,248,"405,302",96,"Spokane, WA","387,847","2,362",164,N,Y,N,N,N,N,269,48,317
3,Pierce County Transportation Benefit Area Authority,Pierce Transit,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,"3701 96th Street, S.W.",,Tacoma,WA,98496,70,99070,10,www.piercetransit.org,1730,17850363,292,"557,069",14,"Seattle, WA","3,059,393","3,028","1,010",N,Y,Y,N,N,N,451,61,512
5,Everett Transit,ET,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,3225 Cedar Street,,Everett,WA,98201,,,10,www.everettwa.org/transit/,1743,155780190,34,"104,643",14,"Seattle, WA","3,059,393","3,028","1,010",N,Y,N,N,N,N,52,0,52
6,Yakima Transit,YT,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,2301 Fruitvale Boulevard,,Yakima,WA,98902,1298,,10,www.yakimatransit.org,1750,78212651,33,"98,214",248,"Yakima, WA","129,534","2,165",60,N,Y,N,N,N,N,43,29,72
7,Lane Transit District,LTD,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,3500 East 17th Avenue,,Eugene,OR,97403,,,10,www.ltd.org,1738,60588639,482,"297,500",151,"Eugene, OR","247,421","2,852",87,N,Y,N,N,N,N,84,191,275
8,Tri-County Metropolitan Transportation District of Oregon,TriMet,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,"1800 SW 1st Avenue, Suite 300",,Portland,OR,97201,5354,,10,www.trimet.org,1728,7909096,570,"1,489,796",24,"Portland, OR-WA","1,849,898","3,528",524,N,Y,Y,N,N,N,609,279,888
11,Valley Regional Transit,VRT,A,1. Independent public agency or authority for transit service,Authority,,,9/30/2013,1/31/2014,700 N East 2nd St.,Suite 100,Meridian,ID,83642,,,10,www.valleyregionaltransit.org,1736,139758973,66,"349,684",108,"Boise City, ID","349,684","2,613",134,N,Y,N,N,N,N,53,0,53
12,Municipality of Anchorage - Public Transportation Department,People Mover,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,"3600 Dr Martin Luther King, Jr Avenue",,Anchorage,AK,99519,6650,196650,10,www.peoplemover.org,1707,76667013,77,"245,069",149,"Anchorage, AK","251,243","2,956",85,N,Y,N,N,N,N,44,42,86
16,RiverCities Transit,RCT,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,P.O. Box 128,254 Oregon Way,Longview,WA,98632,,128,10,www.rctransit.org,1747,612643619,23,"48,573",431,"Longview, WA-OR","63,952","1,946",33,N,Y,N,,N,N,9,14,23
18,Ben Franklin Transit,BFT,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,1000 Columbia Park Trail,,Richland,WA,99352,,,10,www.bft.org,1742,61038006,80,"222,392",171,"Kennewick-Pasco, WA","210,975","2,059",102,N,Y,N,N,N,N,408,50,458
19,Intercity Transit,I.T.,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,526 Southeast Pattison Street,,Olympia,WA,98507,659,659,10,www.intercitytransit.com,1745,50154525,97,"161,000",195,"Olympia-Lacey, WA","176,617","1,673",106,N,Y,N,N,N,N,313,0,313
20,Kitsap Transit,,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,60 Washington Ave. Suite 200,,Bremerton,WA,98337,,,10,kitsaptransit.org,1746,803857184,396,"251,133",180,"Bremerton, WA","198,979","1,458",136,N,Y,N,N,N,N,272,4,276
21,Whatcom Transportation Authority,WTA,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,4111 Bakerview Spur ,,Bellingham,WA,98226,8056,,10,www.ridewta.com,5092,155747561,776,"205,618",275,"Bellingham, WA","114,473","2,379",48,N,Y,N,N,N,N,95,2,97
22,City of Pocatello - Pocatello Regional Transit,PRT,A,"3. City, County or Local government unit or department of",City,,,9/30/2013,1/31/2014,911 North Seventh,,Pocatello,ID,83205,4169,4169,10,www.pocatellotransit.com,1737,73112690,27,"81,730",395,"Pocatello, ID","69,809","2,251",31,Y,Y,N,N,N,N,28,0,28
23,City of Seattle - Seattle Center Monorail Transit,SMS,A,"3. City, County or Local government unit or department of",City,,,12/31/2013,4/29/2014,305 Harrison Street,,Seattle,WA,98109,4695,,10,www.seattlemonorail.com,1749,832190248,83,"495,500",14,"Seattle, WA","3,059,393","3,028","1,010",N,Y,,N,N,N,0,8,8
24,Clark County Public Transportation Benefit Area Authority,C-Tran,A,1. Independent public agency or authority for transit service,Authority,,,12/31/2013,4/29/2014,,,Vancouver,WA,98668,2529,2529,10,www.c-tran.com,1729,44938447,141,"372,634",24,"Portland, OR-WA","1,849,898","3,528",524,N,Y,N,N,Y,N,167,0,167
25,Salem Area Mass Transit District,Cherriots,A,1. Independent public agency or authority for transit service,Authority,,,6/30/2013,10/29/2013,"925 Commercial St., SE",Suite 100,Salem,OR,97302,,,10,www.cherriots.org,1740,46259230,76,"236,632",156,"Salem, OR","236,632","3,117",76,N,Y,N,N,N,N,54,168,222
