5 digit NTDID,4 digit NTDID,Reporter Name,Reporter Acronym,Reporter Status,Reporter Type,Organization Type,Fy End Date,Original Due Date,Address Line 1,Address Line 2,City,State,Zip Code,Zip Code Ext,Po Box,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Mi,Service Area Pop,Primary UZA,UZA Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,VOMS
00001,0001,King County Department of Transportation - Metro Transit Division,King County Metro,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,201 South Jackson Street,M.S. KSC-TR-0333,Seattle,WA,98104,3856,,10,http://metro.kingcounty.gov/,1731,805622313,"2,134","2,017,250",14,"Seattle, WA","3,059,393","3,028","1,010",Y,"2,441",404,"2,845"
00002,0002,Spokane Transit Authority,STA,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,1230 West Boone Avenue,,Spokane,WA,99201,,,10,http://www.spokanetransit.com/,1733,060044575,248,"409,271",96,"Spokane, WA","387,847","2,362",164,Y,268,45,313
00003,0003,Pierce County Transportation Benefit Area Authority,Pierce Transit,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,"3701 96th Street, S.W.",,Tacoma,WA,98496,0070,99070,10,http://www.piercetransit.org/,1730,017850363,292,"557,069",14,"Seattle, WA","3,059,393","3,028","1,010",Y,461,57,518
00005,0005,Everett Transit,ET,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,3225 Cedar Street,,Everett,WA,98201,,,10,http://www.everettwa.org/transit/,1743,155780190,34,"104,643",14,"Seattle, WA","3,059,393","3,028","1,010",Y,52,,52
00006,0006,Yakima Transit,YT,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,2301 Fruitvale Boulevard,,Yakima,WA,98902,1298,,10,http://www.yakimatransit.org/,1750,078212651,33,"98,214",248,"Yakima, WA","129,534","2,165",60,Y,39,31,70
00007,0007,Lane Transit District,LTD,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,3500 East 17th Avenue,,Eugene,OR,97403,,,10,http://www.ltd.org/,1738,060588639,482,"297,500",151,"Eugene, OR","247,421","2,852",87,Y,85,250,335
00008,0008,Tri-County Metropolitan Transportation District of Oregon,TriMet,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,6/30/2014,1/31/2015,"1800 SW 1st Avenue, Suite 300",,Portland,OR,97201,5354,,10,http://www.trimet.org/,1728,007909096,533,"1,542,044",24,"Portland, OR-WA","1,849,898","3,528",524,Y,620,274,894
00011,0011,Valley Regional Transit,VRT,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,9/30/2014,1/31/2015,700 N East 2nd St.,Suite 100,Meridian,ID,83642,,,10,http://www.valleyregionaltransit.org/,1736,139758973,66,"349,684",108,"Boise City, ID","349,684","2,613",134,Y,57,,57
00012,0012,Municipality of Anchorage - Public Transportation Department,People Mover,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,"3600 Dr Martin Luther King, Jr Avenue",,Anchorage,AK,99519,6650,196650,10,http://www.peoplemover.org/,1707,076667013,77,"245,069",149,"Anchorage, AK","251,243","2,956",85,Y,44,42,86
00016,0016,RiverCities Transit,RCT,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",12/31/2014,4/30/2015,P.O. Box 128,254 Oregon Way,Longview,WA,98632,,128,10,http://www.rctransit.org/,1747,612643619,23,"48,573",431,"Longview, WA-OR","63,952","1,946",33,Y,9,14,23
00018,0018,Ben Franklin Transit,BFT,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,1000 Columbia Park Trail,,Richland,WA,99352,,,10,http://www.bft.org/,1742,061038006,80,"222,392",171,"Kennewick-Pasco, WA","210,975","2,059",102,Y,390,47,437
00019,0019,Intercity Transit,I.T.,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,12/31/2014,4/30/2015,526 Southeast Pattison Street,,Olympia,WA,98507,0659,659,10,http://www.intercitytransit.com/,1745,050154525,97,"169,350",195,"Olympia-Lacey, WA","176,617","1,673",106,Y,310,,310
