NTD ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Status,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
1,1,King County Department of Transportation,KCDOT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2017,4/30/2018,201 South Jackson Street,M.S. KSC-TR-0333,,Seattle,WA,98104,3856,10,http://metro.kingcounty.gov/,1731,805622313,"2,134","2,149,970",14,"Seattle, WA",,"3,059,393","3,028","1,010","2,753",401,"3,154",,
2,2,Spokane Transit Authority,STA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,1230 West Boone Avenue,,,Spokane,WA,99201,,10,http://www.spokanetransit.com/,1733,60044575,248,"423,267",96,"Spokane, WA",,"387,847","2,362",164,253,47,300,,
3,3,Pierce County Transportation Benefit Area Authority,Pierce Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2017,4/30/2018,"3701 96th Street, S.W.",,99070,Tacoma,WA,98496,70,10,http://www.piercetransit.org/,1730,17850363,292,"555,578",14,"Seattle, WA",,"3,059,393","3,028","1,010",472,61,533,,
4,0T04,Confederated Tribes of the Colville Indian Reservation,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2017,1/31/2018,CCT DOT,,150,Nespelem,WA,99155,,10,http://www.colvilletribes.com/,6683,112167510,,,0,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA",0,0,0,4,,4,,
5,5,Everett Transit,ET,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2017,4/30/2018,3225 Cedar Street,,,Everett,WA,98201,,10,http://www.everettwa.org/transit/,1743,155780190,34,"106,736",14,"Seattle, WA",,"3,059,393","3,028","1,010",57,,57,,
6,6,Yakima Transit,YT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2017,4/30/2018,2301 Fruitvale Boulevard,,,Yakima,WA,98902,1298,10,http://www.yakimatransit.org/,1750,78212651,33,"100,715",248,"Yakima, WA",,"129,534","2,165",60,33,28,61,,
7,7,Lane Transit District,LTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,3500 East 17th Avenue,,,Eugene,OR,97403,,10,http://www.ltd.org/,1738,60588639,482,"302,200",151,"Eugene, OR",,"247,421","2,852",87,85,192,277,,
8,8,Tri-County Metropolitan Transportation District of Oregon,TriMet,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,"1800 SW 1st Avenue, Suite 300",,,Portland,OR,97201,5354,10,http://www.trimet.org/,1728,7909096,378,"1,536,207",24,"Portland, OR-WA",,"1,849,898","3,528",524,666,298,964,,
9,0T09,Kalispel Tribe of Indians,KTI,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,P.O. Box 39,,,Usk,WA,99180,39,10,http://www.kalispeltribe.com/,6680,71836951,,,0,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA",0,0,0,10,,10,,
10,0T10,Klamath Tribes,KT,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2017,4/30/2018,501 Chiloquin Blvd.,,436,Chiloquin,OR,97624,,10,http://www.klamathtribes.org/,6806,161155288,0,0,0,Oregon Non-UZA,"Klamath Reservation, OR",0,0,0,6,,6,,
