Last Report Year,NTD ID,AgencyID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DR,PT,Operating,"$2,907,248 ","$3,836,276 ","$5,531,613 ","$11,854,660 ","$11,033,321 ","$19,647,893 ","$28,721,065 ","$32,264,403 ","$36,157,343 ","$37,146,156 ","$41,709,800 ","$41,603,378 ","$43,530,523 ","$44,555,726 ","$47,914,047 ","$50,611,056 ","$47,932,638 ","$52,752,281 ","$51,134,908 ","$56,008,586 ","$58,445,201 ","$60,039,963 ","$61,423,955 ","$61,689,952 ","$60,602,865 ","$58,765,608 ","$63,879,758 "
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,"$705,160 ","$639,844 ","$829,933 ","$1,300,039 ","$983,694 ","$1,204,545 ","$1,344,084 ","$1,220,979 "
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,FB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,091,238 ","$5,909,413 "
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,LR,DO,Discontinued,"$779,814 ","$1,270,213 ","$1,352,836 ","$1,166,862 ","$861,166 ","$1,238,339 ","$1,115,987 ","$1,140,960 ","$1,261,640 ","$1,346,339 ","$1,340,558 ","$1,373,224 ","$1,421,503 ","$1,426,751 ","$2,071,123 ",,,"$2,459,635 ","$2,366,620 ","$2,281,393 ",$0 ,$0 ,,$0 ,,,
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,LR,PT,Separate,,,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,DO,Operating,"$100,229,190 ","$164,800,746 ","$176,406,749 ","$176,286,121 ","$177,818,831 ","$188,275,605 ","$204,535,855 ","$217,825,456 ","$240,067,671 ","$243,983,571 ","$253,523,107 ","$279,791,558 ","$294,146,010 ","$309,420,258 ","$293,776,827 ","$319,877,720 ","$344,920,214 ","$373,901,082 ","$373,438,207 ","$379,189,938 ","$380,943,261 ","$422,304,218 ","$431,308,402 ","$440,585,761 ","$445,920,339 ","$468,335,938 ","$517,526,931 "
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,PT,Operating,"$2,045,067 ","$2,524,014 ","$2,340,775 ","$2,828,396 ","$4,232,482 ","$2,340,867 ",,,,,,,,,$0 ,$0 ,"$5,676,503 ","$5,885,935 ","$6,296,965 ","$7,659,725 ","$7,809,151 ","$7,839,817 ","$8,923,754 ","$8,858,232 ","$8,353,828 ","$9,226,895 ","$8,071,455 "
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,RB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,"$11,725,035 ",$0 ,,$0 ,,,
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,SR,DO,Operating,,,,,,,,,,,,,,,,,,,,,"$2,396,642 ","$2,794,211 ","$3,089,936 ","$2,941,721 ","$2,825,029 ","$8,986,612 ","$9,738,639 "
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,TB,DO,Operating,"$18,531,075 ","$31,608,198 ","$33,586,811 ","$33,952,039 ","$36,039,336 ","$37,177,884 ","$34,908,243 ","$39,218,165 ","$42,412,329 ","$42,995,545 ","$43,968,966 ","$40,746,738 ","$42,331,347 ","$42,675,704 ","$50,869,418 ","$53,012,393 ","$53,466,930 ","$54,878,861 ","$55,870,673 ","$58,164,044 ","$56,729,940 ","$57,312,083 ","$61,469,418 ","$62,894,783 ","$63,266,748 ","$64,943,077 ","$70,853,735 "
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,VP,DO,Operating,"$2,246,924 ","$5,376,267 ","$6,538,201 ","$6,972,793 ","$7,120,791 ","$5,797,353 ","$6,281,161 ","$6,039,933 ","$6,842,087 ","$6,926,133 ","$7,389,338 ","$7,311,389 ","$7,299,846 ","$7,234,031 ","$6,701,931 ","$7,625,484 ","$8,231,535 ","$9,751,345 ","$8,973,302 ","$9,101,324 ","$9,956,768 ","$10,639,894 ","$10,658,554 ","$10,289,041 ","$8,916,088 ","$9,042,386 ","$9,713,077 "
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847",Existing 2017,DR,DO,Operating,"$2,258,880 ","$3,127,350 ","$3,399,815 ","$3,656,557 ","$4,057,757 ","$4,358,569 ","$4,646,185 ","$4,518,506 ","$4,575,515 ","$4,767,173 ","$4,970,625 ","$5,446,386 ","$5,439,547 ","$5,490,285 ","$6,105,251 ","$6,538,526 ","$7,081,197 ","$7,783,038 ","$7,595,675 ","$8,019,464 ","$7,910,970 ","$8,411,171 ","$8,277,213 ","$8,754,720 ","$9,042,206 ","$8,740,113 ","$9,298,334 "
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847",Existing 2017,DR,PT,Operating,"$713,512 ","$799,975 ","$952,904 ","$1,313,146 ","$1,827,190 ","$1,936,642 ","$2,106,150 ","$2,101,677 ","$2,424,081 ","$2,469,024 ","$2,618,923 ","$2,719,221 ","$2,885,808 ","$2,935,655 ","$3,140,655 ","$3,415,685 ","$3,809,131 ","$4,178,794 ","$4,047,938 ","$4,215,627 ","$3,693,431 ","$3,677,353 ","$3,767,253 ","$3,871,894 ","$3,827,152 ","$4,027,458 ","$4,374,072 "
