Last Report Year,AgencyID,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,Primary UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,"$383,107,583 ","$329,694,739 ","$275,639,731 ","$277,424,929 ","$289,759,749 ","$342,032,852 ","$399,974,914 ","$367,127,087 ","$483,918,410 ","$416,810,718 ","$400,536,050 ","$493,524,290 ","$506,818,105 ","$651,927,092 ","$509,808,277 ","$535,030,832 ","$572,783,766 ","$651,636,069 ","$668,646,858 ","$669,733,012 ","$867,772,522 ","$817,791,736 ","$762,388,692 ","$782,670,566 ","$831,702,187 ","$988,752,004 ","$977,686,819 "
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847",Existing 2017,"$27,042,832 ","$27,976,993 ","$29,374,328 ","$42,316,768 ","$37,303,829 ","$32,192,970 ","$40,737,394 ","$33,591,348 ","$34,253,966 ","$35,204,499 ","$37,802,003 ","$39,682,730 ","$45,535,339 ","$40,763,480 ","$48,952,703 ","$56,450,544 ","$64,963,968 ","$73,982,401 ","$66,417,392 ","$67,478,671 ","$64,728,901 ","$70,077,825 ","$65,295,886 ","$70,699,557 ","$72,960,135 ","$73,146,122 ","$78,374,790 "
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,"$54,776,294 ","$64,034,797 ","$44,060,100 ","$52,209,179 ","$58,145,467 ","$50,672,958 ","$63,142,957 ","$69,330,047 ","$75,940,929 ","$83,031,163 ","$62,516,343 ","$75,453,800 ","$74,596,167 ","$97,130,128 ","$103,805,219 ","$101,860,747 ","$115,427,096 ","$132,252,330 ","$121,813,470 ","$132,109,408 ","$130,505,371 ","$117,485,734 ","$115,083,767 ","$128,861,135 ","$132,886,339 ","$142,349,888 ","$148,515,761 "
2017,4,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Nespelem,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,,,,,,,,,,,,,,,,,$0 ,"$210,000 ","$238,300 ","$48,482 ","$96,430 ","$97,946 ","$95,515 ","$1,849,343 ","$1,087,811 ","$828,580 ","$918,621 "
2017,5,5,Everett Transit(ET),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,"$6,604,377 ","$6,939,479 ","$9,082,327 ","$8,126,093 ","$6,433,211 ","$8,593,023 ","$9,712,609 ","$8,266,938 ","$15,969,679 ","$19,554,697 ","$31,962,983 ","$18,290,801 ","$12,947,676 ","$11,608,063 ","$14,806,506 ","$18,193,940 ","$21,030,199 ","$20,090,792 ","$25,076,998 ","$21,677,219 ","$22,596,747 ","$21,626,515 ","$25,333,502 ","$20,388,976 ","$20,726,374 ","$21,506,189 ","$25,302,135 "
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534",Existing 2017,"$4,226,544 ","$5,708,990 ","$7,037,438 ","$5,978,458 ","$4,149,008 ","$4,245,528 ","$4,276,633 ","$4,317,767 ","$5,070,639 ","$4,070,409 ","$4,417,708 ","$6,897,795 ","$5,062,526 ","$6,386,450 ","$6,243,168 ","$8,468,237 ","$6,526,404 ","$9,458,004 ","$7,765,408 ","$9,621,657 ","$7,954,552 ","$8,302,449 ","$8,067,367 ","$9,614,315 ","$8,175,710 ","$10,106,167 ","$10,311,469 "
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,"$17,875,132 ","$13,101,915 ","$14,583,156 ","$20,618,831 ","$16,879,096 ","$18,140,947 ","$23,007,237 ","$26,923,195 ","$27,418,047 ","$23,834,966 ","$26,090,968 ","$29,289,377 ","$34,460,161 ","$38,814,608 ","$37,889,195 ","$42,867,587 ","$50,496,418 ","$46,970,312 ","$49,341,891 ","$70,725,363 ","$54,430,454 ","$63,664,291 ","$48,064,992 ","$58,228,970 ","$76,244,948 ","$99,777,141 ","$96,105,920 "
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,"$146,987,415 ","$152,334,566 ","$184,119,738 ","$251,489,553 ","$387,793,357 ","$396,600,790 ","$403,519,556 ","$379,963,800 ","$313,274,940 ","$356,076,127 ","$347,847,878 ","$403,178,037 ","$396,319,555 ","$368,637,208 ","$342,677,729 ","$391,712,708 ","$528,447,949 ","$679,634,859 ","$604,085,558 ","$490,284,790 ","$506,686,323 ","$649,941,004 ","$816,061,261 ","$825,657,935 ","$665,249,047 ","$598,297,378 ","$580,557,466 "
2017,9,0T09,Kalispel Tribe of Indians(KTI),Active,Reduced Reporter,Usk,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,,,,,,,,,,,,,,,,,$0 ,"$13,413 ","$329,205 ","$441,525 ","$426,395 ","$367,989 ","$380,370 ","$376,176 ","$660,258 ","$430,430 ","$713,092 "
2017,10,0T10,Klamath Tribes(KT),Active,Reduced Reporter,Chiloquin,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,"$377,847 ","$381,542 ","$353,166 ","$512,048 ","$356,912 ","$398,624 ","$417,363 ","$464,779 "
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684",Existing 2017,"$2,014,267 ","$2,357,405 ","$2,979,041 ","$3,062,653 ","$7,840,320 ","$4,833,182 ","$4,133,909 ","$5,837,343 ","$4,366,243 ","$4,854,085 ","$7,641,796 ","$9,499,337 ","$7,280,337 ","$7,663,635 ","$8,746,218 ","$7,741,549 ","$8,568,826 ","$10,210,185 ","$8,635,877 ","$9,146,829 ","$11,894,725 ","$16,369,838 ","$14,187,418 ","$15,830,936 ","$19,479,044 ","$17,810,031 ","$17,754,524 "
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Existing 2017,"$11,356,595 ","$11,291,365 ","$11,490,332 ","$11,548,206 ","$11,358,551 ","$16,817,459 ","$13,038,144 ","$14,498,262 ","$23,464,192 ","$14,188,365 ","$15,898,744 ","$18,820,746 ","$19,034,379 ","$23,513,229 ","$25,618,913 ","$26,658,580 ","$30,239,901 ","$38,505,709 ","$31,420,620 ","$39,361,347 ","$36,287,664 ","$35,856,873 ","$38,624,069 ","$34,138,616 ","$32,940,887 ","$32,773,636 ","$32,774,746 "
2016,13,TR27-001,Orutsararmiut Native Council,Inactive,Reduced Reporter,,AK,2010,,,,,Pre 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$69,755 ","$87,717 ","$13,980 ",
2017,14,0T14,Sitka Tribe of Alaska(STA),Active,Reduced Reporter,Sitka,AK,2010,Alaska Non-UZA,0,0,0,Existing 2017,,,,,,,,,,,,,,,,,"$316,481 ","$446,659 ",$0 ,"$1,030,810 ","$1,256,508 ","$836,819 ","$694,839 ","$639,421 ","$178,780 ","$634,786 ","$756,021 "
2017,15,0T15,Snoqualmie Indian Tribe,Active,Reduced Reporter,Snoqualmie,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,,,,,,,,,,,,,,,,,"$198,169 ","$332,532 ","$193,988 ","$110,823 ","$269,054 ","$374,037 ","$125,000 ","$125,000 ","$668,480 ","$386,250 ","$384,003 "
2017,16,16,RiverCities Transit(RCT),Active,Full Reporter,Longview,WA,2010,"Longview, WA-OR",431,33,"63,952",Existing 2017,"$931,174 ","$1,306,430 ","$1,456,144 ","$1,759,755 ",$0 ,$0 ,"$1,585,600 ","$2,155,978 ","$1,758,356 ","$1,642,133 ","$1,733,430 ","$2,765,012 ","$2,420,775 ","$2,119,587 ","$1,939,171 ","$2,052,579 ","$2,490,680 ","$2,479,783 ","$2,897,794 ","$2,832,450 ","$3,616,685 ","$3,403,237 ","$6,991,778 ","$5,078,891 ","$4,646,793 ","$4,526,489 ","$4,967,079 "
2017,17,0T17,Stillaguamish Tribe of Indians,Active,Reduced Reporter,Arlington,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,,,,,,,,,,,,,,,,,$0 ,$0 ,"$496,432 ","$705,312 ","$801,298 ","$1,314,164 ","$592,023 ","$573,213 ","$554,062 ","$581,443 ","$634,088 "
2017,18,18,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,"210,975",Existing 2017,"$9,836,400 ","$11,997,210 ","$11,983,456 ","$10,141,443 ","$14,383,460 ","$14,543,862 ","$14,060,657 ","$14,814,850 ","$15,635,286 ","$14,162,699 ","$16,006,191 ","$14,819,681 ","$25,206,254 ",$0 ,"$29,222,570 ","$29,761,000 ","$29,865,335 ","$35,639,862 ","$35,427,093 ","$34,466,680 ","$28,624,529 ","$28,962,327 ","$32,253,507 ","$38,566,471 ","$38,637,452 ","$33,637,421 ","$38,495,623 "
2017,19,19,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,"176,617",Existing 2017,"$11,270,615 ","$12,683,671 ","$17,520,366 ","$19,288,157 ","$17,589,987 ","$17,402,763 ","$16,354,884 ","$19,024,324 ","$16,859,083 ","$13,363,681 ","$14,585,034 ","$13,929,010 ","$15,333,216 ","$20,544,934 ","$28,641,008 ","$25,606,560 ","$34,576,537 ","$29,849,782 ","$31,979,912 ","$34,901,954 ","$34,775,529 ","$44,655,956 ","$35,999,400 ","$42,701,681 ","$35,921,025 ","$37,619,308 ","$42,631,985 "
2017,20,20,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,"198,979",Existing 2017,"$11,868,616 ","$11,542,650 ","$14,135,611 ","$15,915,400 ","$22,060,885 ","$18,347,922 ","$20,304,705 ","$23,113,083 ","$42,583,288 ","$28,155,670 ","$23,180,143 ","$27,242,035 ","$39,732,458 ","$42,222,810 ","$39,066,103 ","$34,555,192 ","$38,391,905 ","$40,614,600 ","$46,933,496 ","$35,208,645 ","$36,653,297 ","$35,404,393 ","$34,118,906 ","$36,977,125 ","$43,249,036 ","$54,146,835 ","$46,528,358 "
2017,21,21,Whatcom Transportation Authority(WTA),Active,Full Reporter,Bellingham,WA,2010,"Bellingham, WA",275,48,"114,473",Existing 2017,"$9,781,491 ","$10,166,844 ","$7,273,866 ","$13,256,480 ","$13,661,283 ","$11,084,145 ","$11,112,177 ","$16,490,503 ","$13,490,901 ","$13,660,671 ","$19,029,555 ","$14,028,949 ","$16,715,448 ","$16,320,977 ","$16,530,663 ","$17,945,012 ","$28,734,740 ","$23,494,496 ","$34,920,183 ","$26,433,896 ","$25,277,531 ","$23,883,971 ","$28,831,193 ","$27,780,510 ","$26,761,437 ","$32,246,088 ","$30,167,668 "
2017,22,22,City of Pocatello(PRT),Active,Reduced Reporter,Pocatello,ID,2010,"Pocatello, ID",395,31,"69,809",Existing 2017,"$538,037 ","$595,712 ","$597,825 ","$648,675 ","$762,451 ","$681,395 ","$715,437 ","$943,255 ","$1,847,313 ","$1,086,978 ","$1,243,997 ","$1,305,826 ","$1,271,351 ","$1,343,290 ","$1,481,898 ","$1,289,476 ","$2,898,849 ","$3,163,684 ","$2,333,552 ","$4,626,225 ","$2,733,325 ","$2,522,369 ","$3,035,029 ","$7,680,043 ","$3,001,229 ","$2,843,875 ","$3,385,837 "
2017,23,23,City of Seattle - Seattle Center Monorail Transit(SMS),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,"$1,988,704 ","$1,662,029 ","$1,617,633 ","$1,701,074 ","$1,563,684 ","$1,542,695 ","$1,843,498 ","$1,971,854 ","$2,143,959 ","$2,252,944 ","$2,366,890 ","$3,215,844 ","$2,084,435 ","$1,485,247 ","$1,711,859 ","$922,558 ","$3,465,208 ","$2,273,249 ","$4,544,906 ","$3,188,654 ","$3,450,186 ","$3,973,036 ","$3,885,844 ","$3,436,975 ","$4,944,263 ","$4,537,712 ","$4,353,807 "
2017,24,24,Clark County Public Transportation Benefit Area Authority(C-Tran),Active,Full Reporter,Vancouver,WA,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,"$18,864,538 ","$17,925,464 ","$11,958,745 ","$13,123,849 ","$24,076,466 ","$25,786,713 ","$27,689,060 ","$25,717,634 ","$34,099,518 ","$27,112,620 ","$27,272,840 ","$26,215,466 ","$38,787,582 ","$31,418,048 ","$28,462,046 ","$33,498,597 ","$44,268,925 ","$53,125,700 ","$43,309,634 ","$43,715,838 ","$39,749,192 ","$41,869,644 ","$42,709,994 ","$53,003,357 ","$57,250,560 ","$111,711,915 ","$61,911,500 "
