Last Report Year,AgencyID,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DR,PT,Operating,208,265,174,205,219,406,340,634,605,574,392,498,379,464,471,464,354,373,347,336,394,313,323,327,321,174,320
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,44,44,45,45,45,45,46,52
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,FB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,LR,DO,Discontinued,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,2,2,2,0,0,,0,,,
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,LR,PT,Separate,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,DO,Operating,840,911,880,818,811,892,894,932,957,931,976,"1,186","1,183","1,245","1,176","1,071",942,959,943,932,932,874,951,919,871,949,986
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,PT,Operating,23,28,26,26,36,27,,,,,,,,,,,24,25,29,30,31,35,33,32,30,32,29
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,RB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,23,0,,0,,,
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,SR,DO,Operating,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,8,8
