Last Report Year,AgencyID,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DR,PT,Operating,0,0,"154,358","195,636","235,404","271,635","538,486","560,852","595,491","591,700","618,971","608,205","610,993","630,168","691,108","708,970","634,886","686,189","657,222","672,216","686,650","663,829","671,393","620,175","541,381","585,957","635,259"
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,"20,232","18,768","18,588","25,150","30,560","43,515","43,545","39,114"
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,FB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,"5,092","4,888"
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,LR,DO,Discontinued,"11,231","11,663","11,389","11,389","6,144","11,237","11,668","11,223","11,764","11,809","11,659","11,537","11,130","11,136","10,086",,,"11,399","11,207","11,178",0,0,,0,,,
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,LR,PT,Separate,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,DO,Operating,"1,441,815","1,509,623","1,528,315","1,543,560","2,018,294","2,085,572","2,212,369","2,333,490","2,465,080","2,401,601","2,469,948","2,602,247","2,641,815","2,408,999","2,441,720","2,535,732","2,597,328","2,594,575","2,550,833","2,601,102","2,537,247","2,685,339","2,679,291","2,674,714","2,727,991","2,912,539","2,974,921"
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,PT,Operating,"76,534","94,354","78,086","71,713","87,218","51,628",,,,,,,,,,,"68,269","68,476","71,947","78,012","76,257","82,976","81,962","84,321","78,165","83,266","72,713"
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,RB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,"73,632",0,,0,,,
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,SR,DO,Operating,,,,,,,,,,,,,,,,,,,,,"11,508","11,736","11,905","12,154","12,130","39,471","40,280"
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,TB,DO,Operating,"336,854","346,622","350,100","351,427","442,273","451,328","470,291","503,003","509,979","509,180","504,746","448,168","462,287","367,525","439,985","432,102","418,101","421,901","513,091","431,474","418,788","396,779","416,118","414,662","410,032","450,367","463,444"
2017,1,1,King County Department of Transportation(KCDOT),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,VP,DO,Operating,"138,372","177,735","231,768","238,940","221,520","228,020","249,860","262,070","277,991","269,244","281,083","265,198","250,266","246,316","268,006","296,229","308,511","345,169","347,215","294,929","334,972","381,957","388,170","499,955","512,680","542,569","563,263"
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847",Existing 2017,DR,DO,Operating,"77,818","88,263","96,476","97,993","101,589","93,601","91,310","89,671","84,796","86,281","89,814","93,638","95,167","89,156","87,625","89,590","88,894","91,129","90,765","84,769","84,439","85,246","82,630","81,138","80,123","76,807","82,066"
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847",Existing 2017,DR,PT,Operating,"26,634","28,972","32,512","42,144","57,625","55,824","58,868","55,273","64,712","62,533","63,751","62,345","64,254","69,335","71,119","77,719","83,882","87,830","84,316","87,975","81,824","78,233","80,592","79,365","81,267","85,626","85,599"
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847",Existing 2017,MB,DO,Operating,"339,595","345,550","352,549","355,890","369,756","371,431","374,718","377,509","375,175","356,977","336,401","348,675","351,239","354,985","369,494","402,533","406,008","414,751","418,247","414,364","397,204","381,167","383,357","392,087","395,972","397,122","405,164"
2017,2,2,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847",Existing 2017,VP,DO,Operating,"3,798","5,242","6,188","8,139","7,219","7,733","8,414","9,110","7,165","6,531","8,221","8,881","10,334","9,938","15,157","17,462","18,720","24,267","23,703","24,198","27,304","33,220","34,313","36,651","33,434","31,196","29,470"
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DR,DO,Operating,"47,292","54,495","54,705","62,065","61,887","59,013","52,564","61,782","51,000","49,784","48,768","48,507","52,578","51,679","50,845","50,001","49,261","51,841","52,804","52,062","49,224","42,118","46,827","46,827","46,407","47,024","45,749"
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DR,PT,Operating,"69,231","70,636","101,674","120,900","157,987","114,066","88,994","123,065","135,740","140,530","100,929","105,772","102,559","104,248","109,507","135,268","150,188","152,242","159,516","149,797","143,176","128,179","117,829","119,618","120,544","116,315","111,765"
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,DO,Operating,"421,043","398,492","390,799","431,906","461,612","462,211","476,554","502,095","565,078","527,689","552,665","584,872","652,063","662,245","530,807","546,334","570,819","600,860","586,260","563,093","451,502","377,976","373,701","385,007","388,736","399,839","428,267"
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,PT,Discontinued,"23,031","25,232","24,774","11,440",,,,,,,,,,,,,,,,,0,0,,0,,,
2017,3,3,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,VP,DO,Operating,"4,500","13,000","21,000","25,500","27,020","28,000","36,250","43,750","47,750","58,500","69,000","68,750","82,956","99,500","103,157","120,053","143,932","147,610","134,966","137,821","140,533","140,411","144,384","140,256","143,234","146,880","147,103"
2017,4,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Nespelem,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,780,"1,542","1,522","1,300","2,106","54,336","60,292","3,164","2,927","3,088"
2017,4,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Nespelem,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,FB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,"5,891","5,760","5,514","5,728"
2017,4,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Nespelem,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,OT,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,5,Everett Transit(ET),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,DR,DO,Operating,"11,861","13,428","14,736","13,842","14,481","15,184","15,352","17,088","21,432","22,896","22,936","23,549","33,287","36,754","36,869","39,854","43,644","45,292","42,802","43,791","47,681","44,668","47,134","46,640","47,312","48,123","48,920"
2017,5,5,Everett Transit(ET),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2017,MB,DO,Operating,"83,070","86,364","90,025","90,313","88,997","84,927","76,335","76,624","76,896","83,700","83,712","88,288","83,568","56,921","90,380","100,720","105,588","111,729","117,697","129,830","121,353","112,452","99,873","99,491","100,405","103,589","105,656"
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534",Existing 2017,CB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,"2,540","4,792","4,830","4,961"
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534",Existing 2017,DR,PT,Operating,"21,033","21,816","20,017","28,166","17,651","14,210","16,019","19,202","13,723","18,564","19,084","18,331","15,875","39,496","33,889","22,972","20,507","41,279","47,867","40,994","40,256","38,548","36,346","33,485","32,212","33,565","31,125"
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534",Existing 2017,MB,DO,Operating,"46,964","58,344","60,930","60,372","46,617","44,841","44,452","44,375","43,736","42,196","45,016","45,734","63,199","47,690","50,340","52,301","54,500","56,249","51,421","54,850","59,765","54,233","54,641","49,480","49,570","54,491","52,074"
2017,6,6,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534",Existing 2017,VP,DO,Operating,,,,,,,,,,,,"1,550","4,800","6,240","7,084","6,963","8,858","11,731","10,664","12,116","13,779","12,795","11,121","8,641","7,702","6,478","6,241"
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,DR,PT,Operating,"11,987","15,019","25,223","26,907","28,207","31,875","33,650","35,071","39,484","43,857","49,457","47,541","48,581","50,618","49,189","65,128","73,070","82,646","87,091","98,764","108,627","114,341","117,776","118,873","122,148","122,715","111,601"
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,"26,087","28,355","29,349","31,941","58,219","88,140","115,495","118,461"
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,MB,DO,Operating,"209,516","211,660","227,118","238,083","244,778","248,365","257,821","262,223","267,986","274,939","273,102","262,242","237,949","276,207","263,537","259,985","279,688","286,226","286,654","279,241","220,633","212,152","211,801","211,663","216,150","228,088","241,676"
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,,,"2,662","2,866","2,944","2,968","2,926","2,938","2,943","3,123","3,426"
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,RB,DO,Operating,,,,,,,,,,,,,,,,,,,,,"25,923","35,328","35,502","35,625","35,780","36,609","37,929"
2017,7,7,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2017,VP,PT,Operating,,,,,,,,,,,,,,,418,"1,651","1,557","3,850","4,864","5,497","5,321","4,313","5,620","7,817","9,246","8,885","8,625"
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,CR,PT,Discontinued,,,,,,,,,,,,,,,,,,,"2,057","7,495",0,0,,0,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,DR,DO,Discontinued,,,,,"3,012","13,436","15,533","15,741","12,588",,,,,,,,,,,,0,0,,0,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,DR,PT,Operating,"151,254","140,588","164,955","201,685","221,587","243,353","248,041","293,295","304,509","327,986","344,806","366,319","395,283","405,534","438,290","465,037","533,885","553,547","542,062","484,400","476,288","472,968","468,659","475,234","470,444","487,856","482,017"
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,"36,288","35,980","37,035","34,508","37,184","40,643","50,665","49,108"
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,LR,DO,Operating,"93,169","95,558","100,334","102,326","103,655","106,589","105,536","119,631","258,534","291,964","286,115","337,073","351,764","356,708","415,713","408,715","428,990","454,612","490,872","566,283","533,157","529,180","528,133","528,900","535,005","616,337","623,791"
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,MB,DO,Operating,"1,415,086","1,456,550","1,507,629","1,570,974","1,614,098","1,672,031","1,665,120","1,708,297","1,771,241","1,845,004","1,856,166","1,879,205","1,882,890","1,887,608","1,873,568","1,800,848","1,830,709","1,843,670","1,878,880","1,778,961","1,636,603","1,625,650","1,620,908","1,670,498","1,752,236","1,837,409","1,885,784"
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,MB,PT,Discontinued,"6,604","7,936","8,686","13,373","11,451",,,,,,,,,,,,,,,,0,0,,0,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,SR,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,"35,241",0,,0,,,
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,SR,PT,Separate,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
2017,8,8,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2017,YR,PT,Operating,,,,,,,,,,,,,,,,,,,,,"6,587","7,528","7,470","7,531","7,470","7,550","7,458"
2017,9,0T09,Kalispel Tribe of Indians(KTI),Active,Reduced Reporter,Usk,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,"1,068","3,723","2,717","6,570","3,240","4,126","4,106","3,374","3,943"
2017,9,0T09,Kalispel Tribe of Indians(KTI),Active,Reduced Reporter,Usk,WA,2010,Washington Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,5,,,,,,"1,443","5,055","5,247"
2017,10,0T10,Klamath Tribes(KT),Active,Reduced Reporter,Chiloquin,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,CB,DO,Operating,,,,,,,,,,,,,,,,,,,,,"1,537","1,553","2,779","4,834","3,724","3,475","3,418"
2017,10,0T10,Klamath Tribes(KT),Active,Reduced Reporter,Chiloquin,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,,"3,838","4,960","4,932","4,427","3,552","2,616","2,003"
2017,10,0T10,Klamath Tribes(KT),Active,Reduced Reporter,Chiloquin,OR,2010,Oregon Non-UZA,0,0,0,Existing 2017,MB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,"6,841",,,,,,,
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684",Existing 2017,DR,DO,Operating,"2,808","3,846","6,209","6,910","8,398","10,123","10,309","10,194","11,333","11,920","12,386","13,384","14,743","15,546","14,436","15,304","15,434","22,293","20,530","25,557","27,801","27,735","27,657","29,243","24,771","25,626","26,986"
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684",Existing 2017,DR,PT,Discontinued,,,,,,,,,,,,,253,861,"1,679","1,879","2,094","2,031","1,974","1,693",0,0,,0,,,
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684",Existing 2017,MB,DO,Operating,"44,982","46,294","49,940","58,605","67,439","65,789","66,715","66,063","65,377","69,001","71,595","73,551","75,027","68,438","65,660","67,113","66,429","66,989","66,875","70,673","86,473","89,728","88,998","92,320","95,614","98,453","104,699"
2017,11,11,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684",Existing 2017,MB,PT,Discontinued,,,,,,,,,,,,,"5,481","10,538","19,002","20,768","20,909","23,637","23,695","19,814",0,0,,0,,,
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Existing 2017,DR,PT,Operating,"26,377","27,186","29,751","29,789","23,050","27,858","33,133","54,954","57,707","58,033","66,135","68,313","70,143","68,534","63,002","66,881","80,396","82,237","82,333","84,492","99,867","94,515","84,350","79,122","81,378","80,864","76,917"
2017,12,12,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Existing 2017,MB,DO,Operating,"106,505","105,296","104,252","104,527","104,915","105,569","107,315","123,220","122,169","118,862","124,412","128,394","134,639","146,240","154,080","151,080","156,288","158,910","157,572","152,547","153,155","152,517","153,255","155,956","158,040","156,031","150,539"
