5 digit NTD ID,AgencyID,Agency,Active,Reporter Type,UZA,UZA Name,Modes,TOS,2-Jan,2-Feb,2-Mar,2-Apr,2-May,2-Jun,2-Jul,2-Aug,2-Sep,2-Oct,2-Nov,2-Dec,3-Jan,3-Feb,3-Mar,3-Apr,3-May,3-Jun,3-Jul,3-Aug,3-Sep,3-Oct,3-Nov,3-Dec,4-Jan,4-Feb,4-Mar,4-Apr,4-May,4-Jun,4-Jul,4-Aug,4-Sep,4-Oct,4-Nov,4-Dec,5-Jan,5-Feb,5-Mar,5-Apr,5-May,5-Jun,5-Jul,5-Aug,5-Sep,5-Oct,5-Nov,5-Dec,6-Jan,6-Feb,6-Mar,6-Apr,6-May,6-Jun,6-Jul,6-Aug,6-Sep,6-Oct,6-Nov,6-Dec,7-Jan,7-Feb,7-Mar,7-Apr,7-May,7-Jun,7-Jul,7-Aug,7-Sep,7-Oct,7-Nov,7-Dec,8-Jan,8-Feb,8-Mar,8-Apr,8-May,8-Jun,8-Jul,8-Aug,8-Sep,8-Oct,8-Nov,8-Dec,9-Jan,9-Feb,9-Mar,9-Apr,9-May,9-Jun,9-Jul,9-Aug,9-Sep,9-Oct,9-Nov,9-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",DR,PT,"746,158","656,324","726,578","736,975","746,158","696,633","746,158","747,339","695,451","766,920","696,633","725,396","761,210","697,454","777,948","795,216","787,912","748,855","793,074","754,939","752,394","843,825","701,931","728,026","747,628","771,845","883,913","857,232","841,169","847,193","825,119","820,359","806,457","829,771","895,134","905,623","774,351","753,949","848,372","821,603","886,438","862,034","843,133","905,209","845,207","865,101","812,467","797,799","798,647","754,978","870,726","811,068","869,933","862,697","864,720","940,351","882,333","895,883","765,935","728,139","789,831","782,401","872,267","864,049","963,309","846,949","848,425","891,059","799,670","921,386","829,419","820,341","746,766","735,504","760,462","797,155","794,368","749,376","793,643","750,790","745,579","848,123","714,143","737,948","841,743","774,171","853,798","851,673","816,168","828,250","855,102","832,296","832,413","897,303","782,787","809,271","778,833","753,302","867,834","836,731","808,656","810,494","812,026","824,703","816,410","878,178","763,045","816,721","835,425","780,800","922,064","863,560","877,355","858,632","807,759","866,152","821,033","849,680","800,887","752,367","708,973","814,776","867,424","833,241","882,908","809,746","812,980","851,610","767,559","873,579","794,750","741,422","823,920","778,181","832,695","854,336","872,258","788,483","825,955","819,781","760,267","862,747","745,981","705,354","768,910","688,770","748,916","781,409","761,544","714,233","726,415","702,592","693,406","776,224","654,371","658,414","585,118","558,914","599,948","587,702","574,770","569,771","562,844","547,513","528,987","571,210","502,916","515,948","628,731","657,129","706,423","686,973","681,681","668,495","633,077","695,930","655,110","681,981","641,698","596,968","635,089","578,776","701,185","657,496","693,832","662,008","632,230","682,834","613,870","689,045","644,004","611,734","674,147","614,281","684,698","676,641","712,247","664,821","674,303","710,602","628,659"
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",DT,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,786","41,157","42,576","43,591","41,732","41,163","46,131","44,640","47,483","49,966","44,264","41,495","40,245","37,264","42,609","45,041","43,725","43,901","39,946","42,947","41,349","39,463","40,744","36,973","38,138","36,129","37,047","39,695","44,559","39,122","38,637","39,607","38,009","52,414","44,411","40,847","52,462","56,396","56,368","55,929","59,048","51,149","53,044","49,770","56,893","55,413","54,481","49,333","58,627","52,449","53,671","64,318","65,010","62,334","68,269","68,128","80,881","84,663","73,497","73,846","94,812","87,531","94,803","100,893","101,395","96,051","103,773","93,449","103,245","123,339","124,913","133,044","121,496","100,648","122,977","114,731","115,195","109,099","109,900","100,016","96,605","108,270","109,865","128,127","102,671","99,110","117,511","110,213","124,998","120,174","116,179","116,451","113,243","134,457","134,185","122,253","137,365","132,582","152,124","151,009","174,424","138,738","138,534","155,222","172,223"
1,1,King County Department of Transportation,Active,Full Reporter,14,"Seattle, WA",FB,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,248","3,440","3,956","4,622","5,414","4,920","4,648","5,120","4,768","4,728","3,268","3,572","3,250","3,264","3,896","4,238","4,948","4,912","4,684","3,952","4,488","4,652","3,118","3,360","3,508","3,192","3,822","4,534","4,786","4,566","4,560","5,034","4,384"
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",LR,DO,"2,655","2,634","2,916","2,840","2,927","3,859","4,329","4,329","4,064","3,284","2,841","2,952","3,165","2,926","3,146","3,165","3,238","4,427","4,578","4,567","4,427","3,183","3,018","3,165","3,146","3,018","3,275","3,165","3,220","4,438","4,567","4,578","4,427","3,238","3,238","4,684","3,146","2,926","3,275","3,146","3,238","4,438","4,556","4,589","4,427","3,238","1,914",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"4,856","4,554","4,876","4,756","4,897","4,694","4,917","4,897","4,694","4,938","4,653","4,172","5,125","4,640","5,082","4,978","5,061","4,978","5,168","5,104","4,914","5,190","4,849","5,061","5,029","4,631","5,136","4,989","5,029","4,968","5,115","5,072","4,904","5,115","4,904","5,072","5,019","4,641","5,148","5,022","5,019","4,979","5,303","5,453","5,193","5,378","5,188","5,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",MB,DO,"2,878,549","2,558,164","2,840,121","2,855,047","2,899,399","2,714,672","2,875,414","2,888,733","2,681,698","2,616,778","2,415,841","2,503,569","2,959,737","2,607,004","2,892,925","2,907,853","2,893,190","2,829,145","2,938,717","2,882,080","2,847,550","3,105,232","2,792,736","3,031,519","3,002,856","2,751,058","3,135,111","3,016,914","2,929,028","3,016,914","3,002,856","3,061,283","2,943,085","3,002,856","2,943,085","2,972,051","3,147,294","2,851,553","3,310,276","3,119,074","3,147,294","3,184,532","3,081,837","3,310,276","3,103,041","3,163,328","3,103,041","3,163,328","2,586,166","2,343,812","2,695,702","2,503,023","2,640,934","2,596,661","2,547,295","2,695,702","2,503,023","2,640,934","2,541,893","2,547,295","2,666,478","2,360,976","2,681,595","2,564,644","2,666,478","2,564,644","2,620,390","2,727,683","2,457,351","2,727,683","2,564,644","2,559,185","2,728,583","2,520,777","2,682,908","2,686,621","2,682,908","2,624,680","2,728,583","2,682,908","2,624,680","2,790,524","2,517,064","2,728,583","2,669,781","2,465,507","2,714,278","2,671,558","2,609,476","2,671,558","2,714,278","2,669,781","2,611,252","2,730,087","2,550,947","2,714,278","2,581,627","2,428,597","2,728,054","2,628,235","2,581,627","2,628,235","2,636,471","2,673,211","2,573,392","2,636,471","2,573,392","2,709,951","2,666,392","2,474,780","2,781,278","2,640,088","2,666,392","2,679,112","2,627,368","2,781,278","2,621,669","2,734,779","2,670,246","2,734,779","2,661,431","2,645,151","2,797,912","2,680,601","2,802,101","2,676,477","2,695,671","2,806,035","2,534,660","2,825,472","2,631,370","2,587,324","2,742,340","2,505,844","2,707,667","2,717,139","2,757,250","2,585,858","2,722,434","2,740,631","2,577,346","2,818,312","2,568,945","2,606,884","2,702,778","2,474,978","2,683,426","2,688,988","2,671,674","2,623,458","2,698,594","2,643,635","2,626,097","2,680,437","2,418,196","2,551,704","2,589,041","2,410,243","2,661,653","2,618,536","2,562,914","2,657,948","2,687,994","2,649,334","2,624,777","2,823,777","2,625,156","2,740,480","2,651,638","2,602,420","2,804,836","2,697,160","2,730,014","2,708,926","2,636,135","2,790,073","2,688,877","2,765,185","2,681,904","2,693,184","2,711,931","2,507,108","2,859,894","2,665,483","2,806,430","2,750,755","2,697,679","2,848,388","2,673,068","2,881,428","2,756,520","2,694,730","2,841,271","2,574,435","2,899,202","2,793,091","2,893,097","2,793,686","2,822,495","2,946,709","2,705,881"
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",MB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,372","61,966","66,121","66,955","66,121","64,669","67,372","66,121","64,669","69,659","61,132","67,372","63,153","58,852","64,382","70,806","68,798","71,850","72,402","71,125","72,195","80,670","65,920","71,340","67,871","65,579","74,235","79,178","75,832","79,178","78,441","79,729","76,570","78,441","76,570","81,017","72,558","68,893","78,029","79,288","78,645","78,527","73,866","80,530","74,817","69,362","62,216","63,646","60,739","68,042","85,133","84,916","88,476","89,483","89,803","96,340","83,725","106,150","93,032","90,319","87,043","79,641","85,338","92,566","93,126","87,801","93,126","94,683","86,245","102,423","87,381","89,447","101,246","92,666","99,317","107,262","106,054","103,561","107,872","106,054","103,561","93,942","76,277","84,326","75,209","74,814","86,601","91,384","87,104","95,918","97,419","94,759","93,356","97,186","83,522","91,083","87,562","90,035","98,097","96,879","96,418","99,667","93,631","103,856","95,947","97,350","90,246","91,382","76,440","72,660","82,746","79,970","85,606","85,132","80,444","88,658","79,970","82,836","76,231","74,224","80,582","73,559","81,519","83,024","86,595","83,966","83,498","89,692","77,772"
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",SR,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,117","4,462","5,140","5,120","5,370","5,271","5,303","5,193","5,126","5,508","5,317","5,295","5,452","4,976","5,184","5,368","5,095","5,261","5,452","5,558","5,181","5,580","4,895","5,266","5,249","4,773","5,229","5,131","5,249","5,050","5,209","5,249","5,050","5,330","4,871","5,131","5,125","4,651","5,095","4,995","5,052","4,995","5,095","5,105","4,923","5,197","4,751","4,976","5,264","12,528","16,626","18,487","15,736","17,249","17,527","17,918","17,158","17,708","18,015","17,256","16,814","15,600","10,565","16,410","17,081","16,848","16,683","17,442","16,430","16,983","16,369","16,585","16,575","15,166","17,320","16,386","16,995","16,608","16,893","17,370","15,793"
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",TB,DO,"315,455","281,498","312,856","310,397","316,193","301,878","317,033","319,469","299,362","316,112","296,262","305,074","310,593","281,308","312,663","310,161","312,663","308,996","322,253","318,698","305,097","307,628","272,409","299,385","282,363","258,910","292,282","281,574","276,385","281,574","282,363","286,305","275,596","282,363","275,596","278,290","294,389","266,797","308,870","291,734","294,389","297,259","288,864","308,870","290,019","296,105","290,019","296,105","260,577","236,156","270,704","252,385","265,640","260,876","257,149","270,704","252,385","265,640","255,812","257,149","242,345","216,602","243,917","233,764","242,345","233,764","240,588","245,674","228,678","245,674","233,764","237,260","243,218","225,964","241,397","237,976","241,397","234,591","243,218","241,397","234,591","246,602","229,386","243,218","235,323","215,216","237,182","232,065","232,016","232,065","237,182","235,323","228,758","238,629","225,451","237,182","231,692","225,564","257,199","246,654","231,692","246,654","239,775","249,116","238,571","239,775","238,571","258,456","243,512","225,827","256,430","237,738","243,512","246,229","235,020","256,430","239,770","241,480","239,770","241,480","235,592","232,568","240,277","226,469","229,569","218,410","219,253","235,386","208,197","244,126","224,272","214,523","242,663","215,996","234,616","238,021","248,259","222,096","251,195","248,720","229,768","255,507","226,183","232,162","247,171","217,640","228,376","235,323","245,750","230,281","259,184","249,041","244,321","249,573","204,000","227,161","238,275","219,498","236,229","235,186","221,309","231,273","240,398","225,850","242,026","240,846","229,541","254,925","239,127","231,632","266,642","242,338","246,102","253,422","257,223","267,748","262,033","248,203","266,298","283,078","263,068","236,505","276,599","237,413","274,762","266,488","246,416","269,963","255,082","261,813","257,863","284,549","269,687","238,107","261,936","248,308","279,190","248,621","254,891","272,920","240,437"
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",VP,DO,"867,289","749,022","827,867","867,289","867,289","788,444","867,289","867,289","788,444","906,711","788,444","827,867","853,288","699,790","832,782","827,709","777,578","809,663","822,882","750,918","798,024","867,974","751,741","826,355","704,403","614,108","861,602","730,502","697,216","676,856","702,473","721,675","733,618","733,618","733,618","733,618","741,915","703,921","791,929","792,701","743,674","784,671","772,222","812,238","730,671","846,807","830,202","743,684","778,811","718,305","841,320","703,649","951,557","855,440","740,803","1,032,002","818,639","974,806","797,165","700,987","878,603","811,861","897,267","863,050","915,302","881,161","893,361","990,111","834,184","985,218","867,355","773,943","922,165","888,271","910,115","959,671","928,421","962,182","1,034,652","988,974","966,986","1,051,124","933,869","883,598","1,039,633","978,043","1,048,999","1,052,444","950,439","1,013,339","1,010,417","963,345","946,217","1,000,356","899,452","899,849","920,032","898,967","1,047,110","994,509","911,156","988,068","941,184","969,104","954,281","950,896","887,866","904,992","954,623","908,645","1,088,738","1,024,259","1,043,114","1,081,075","1,004,741","1,165,350","1,087,375","1,076,761","1,091,909","1,019,758","1,054,437","1,141,350","1,214,694","1,176,765","1,228,931","1,172,795","1,171,360","1,275,091","1,094,421","1,263,727","1,117,997","973,229","1,208,202","1,089,129","1,157,743","1,221,449","1,231,453","1,108,458","1,198,053","1,205,490","1,128,013","1,286,458","1,114,951","1,082,714","1,252,973","1,145,764","1,221,093","1,280,273","1,218,167","1,207,346","1,252,463","1,188,229","1,189,974","1,291,275","1,078,945","1,172,132","1,201,875","1,161,838","1,295,980","1,288,279","1,175,666","1,271,153","1,263,163","1,216,847","1,229,349","1,288,120","1,162,164","1,139,115","1,141,359","1,216,064","1,354,382","1,249,262","1,257,455","1,271,062","1,178,405","1,326,693","1,263,263","1,267,638","1,246,137","1,107,604","1,263,931","1,162,322","1,382,926","1,229,163","1,328,872","1,322,367","1,205,915","1,375,782","1,237,852","1,349,537","1,248,256","1,092,455","1,321,543","1,199,308","1,328,519","1,272,159","1,337,765","1,267,379","1,252,993","1,339,737","1,166,101"
2,2,Spokane Transit Authority,Active,Full Reporter,96,"Spokane, WA",DR,DO,"119,173","103,021","111,381","112,203","122,236","104,936","113,146","112,567","104,012","127,525","109,050","104,457","120,379","112,942","119,927","122,079","115,924","108,070","120,058","113,313","116,794","131,534","101,641","107,498","111,059","108,913","120,211","116,286","102,856","109,192","106,292","107,014","107,837","111,426","114,127","116,170","107,171","103,557","118,180","103,556","107,559","103,557","87,670","102,848","97,352","100,377","98,767","98,746","104,025","101,928","101,927","107,899","120,429","105,122","91,208","106,521","97,182","117,998","107,245","97,773","115,293","105,106","116,743","105,096","116,178","105,014","100,620","109,052","94,400","124,519","113,477","99,519","105,128","110,678","114,679","126,020","122,399","109,989","113,278","108,859","114,857","130,540","100,234","80,590","102,146","108,374","118,664","119,588","111,382","113,982","110,875","101,892","103,905","110,222","100,014","106,327","108,279","102,569","116,478","112,322","103,056","99,996","95,222","94,720","99,325","102,492","93,217","85,795","89,710","88,019","114,910","106,440","111,446","103,400","91,891","104,365","104,345","109,154","108,098","97,073","103,626","106,441","118,452","111,532","113,109","100,727","103,289","109,213","91,093","114,494","108,721","91,489","115,534","104,929","108,041","112,655","112,986","93,684","94,047","88,064","88,555","108,936","93,431","94,089","113,656","98,537","105,922","108,742","105,101","93,693","95,330","84,676","93,501","106,444","85,406","95,426","100,696","96,894","112,191","108,008","98,035","102,392","98,107","85,973","97,107","109,288","89,008","91,507","93,116","94,612","106,584","91,865","96,985","93,075","81,683","97,002","94,327","97,450","99,207","92,987","99,235","92,296","111,797","97,646","105,609","100,283","92,193","103,051","96,161","106,136","101,792","92,431","111,468","95,596","108,310","105,846","113,512","103,707","110,039","120,529","103,298"
